bowler,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Love Ablish,3,3,75,42,7.0,10.71,2/ 17,0,0
Tushar Deshpande,5,3,192,102,17.0,11.29,2/ 37,0,0
Kulwant Khejroliya,5,3,153,95,15.5,9.87,2/ 33,0,0
Krishmar Santokie,2,3,90,48,8.0,11.25,2/ 50,0,0
Tabraiz Shamsi,4,3,147,96,16.0,9.19,1/ 21,0,0
Ashok Menaria,12,3,144,110,18.2,7.91,2/ 20,0,0
KM Asif,2,3,75,36,6.0,12.5,2/ 43,0,0
Johan van der Wath,3,3,129,72,12.0,10.75,2/ 49,0,0
John Hastings,3,3,66,58,9.4,7.02,2/ 6,0,0
Justin Kemp,5,3,54,44,7.2,7.5,3/ 12,0,0
Shahbaz Ahmed,2,2,44,36,6.0,7.33,2/ 26,0,0
Chetanya Nanda,3,2,57,48,8.0,7.12,1/ 4,0,0
Sachin Baby,2,2,8,10,1.4,5.71,2/ 4,0,0
Siddharth Chitnis,2,2,60,36,6.0,10.0,2/ 40,0,0
Amit Uniyal,2,2,66,36,6.0,11.0,2/ 41,0,0
Travis Head,5,2,81,48,8.0,10.12,2/ 30,0,0
Ryan ten Doeschate,10,2,94,78,13.0,7.23,1/ 7,0,0
Andrew Flintoff,3,2,105,66,11.0,9.55,1/ 11,0,0
David Willey,3,2,95,60,10.0,9.5,1/ 24,0,0
Sandeep Warrier,4,2,119,90,15.0,7.93,2/ 31,0,0
Ankit Soni,6,2,144,109,18.1,7.96,1/ 16,0,0
Shoaib Malik,5,2,85,51,8.3,10.24,1/ 6,0,0
Scott Boland,2,2,54,42,7.0,7.71,2/ 31,0,0
Scott Kuggeleijn,2,2,71,48,8.0,8.88,2/ 37,0,0
Michael Clarke,5,2,67,66,11.0,6.09,1/ 12,0,0
Doddapaneni Kalyankrishna,3,2,87,48,8.0,10.88,1/ 30,0,0
Javon Searles,3,2,89,42,7.0,12.71,1/ 24,0,0
Luke Wright,6,2,124,71,11.5,10.78,1/ 12,0,0
Nayan Doshi,4,2,79,56,9.2,8.59,1/ 15,0,0
Musavir Khote,2,2,51,30,5.0,10.2,2/ 29,0,0
Kyle Abbott,5,2,177,96,16.0,11.06,1/ 38,0,0
Nuwan Zoysa,3,2,99,66,11.0,9.0,1/ 30,0,0
Pawan Suyal,5,2,151,96,16.0,9.44,1/ 21,0,0
Riyan Parag,9,2,148,96,16.0,9.25,1/ 10,0,0
Mohammad Hafeez,4,2,68,60,10.0,6.8,1/ 8,0,0
Brett Geeves,2,1,91,48,8.0,11.38,1/ 50,0,0
Anukul Roy,1,1,11,12,2.0,5.5,1/ 11,0,0
Josh Hazlewood,3,1,64,60,10.0,6.4,1/ 19,0,0
Soumya Sarkar,2,1,34,25,4.1,8.29,1/ 15,0,0
Shubham Agarwal,1,1,42,24,4.0,10.5,1/ 42,0,0
Sunil Joshi,4,1,82,55,9.1,9.01,1/ 27,0,0
Jeevan Mendis,2,1,36,30,5.0,7.2,1/ 16,0,0
Shrikant Mundhe,1,1,6,6,1.0,6.0,1/ 6,0,0
Cameron White,6,1,86,42,7.0,12.29,1/ 14,0,0
Ashley Noffke,1,1,40,24,4.0,10.0,1/ 40,0,0
Swapnil Singh,5,1,90,60,10.0,9.0,1/ 14,0,0
Dwaraka Ravi Teja,2,1,28,18,3.0,9.33,1/ 19,0,0
TP Sudhindra,3,1,136,70,11.4,11.93,1/ 46,0,0
Nathu Singh,2,1,15,24,4.0,3.75,1/ 7,0,0
Prithvi Raj,2,1,57,30,5.0,11.4,1/ 29,0,0
Lee Carseldine,1,1,6,6,1.0,6.0,1/ 6,0,0
Lendl Simmons,1,1,34,18,3.0,11.33,1/ 34,0,0
Tyron Henderson,2,1,40,36,6.0,6.67,1/ 30,0,0
Ajinkya Rahane,1,1,5,6,1.0,5.0,1/ 5,0,0
Vidyut Sivaramakrishnan,1,1,22,12,2.0,11.0,1/ 22,0,0
Adam Gilchrist,1,1,0,1,0.1,0.0,1/ 0,0,0
Manoj Tiwary,6,1,83,42,7.0,11.86,1/ 11,0,0
Abhishek Jhunjhunwala,10,1,129,85,14.1,9.15,1/ 13,0,0
Matt Henry,2,1,71,30,5.0,14.2,1/ 31,0,0
Abdul Samad,3,1,96,42,7.0,13.71,1/ 41,0,0
André Nel,1,1,31,18,3.0,10.33,1/ 31,0,0
Aaron Finch,5,1,67,43,7.1,9.44,1/ 11,0,0
Dinesh Salunkhe,5,1,78,47,7.5,10.4,1/ 21,0,0
Clint McKay,2,1,60,42,7.0,8.57,1/ 36,0,0
Gurinder Sandhu,2,1,82,48,8.0,10.25,1/ 33,0,0
Graham Napier,1,1,27,24,4.0,6.75,1/ 27,0,0
Sarvesh Kumar,2,1,42,30,5.0,8.4,1/ 18,0,0
D'Arcy Short,2,1,19,18,3.0,6.33,1/ 10,0,0
Harmeet Singh (2),1,1,34,24,4.0,8.5,1/ 34,0,0
Ronit More,2,1,59,35,5.5,10.73,1/ 31,0,0
Hanuma Vihari,6,1,47,42,7.0,6.71,1/ 5,0,0
Sherfane Rutherford,6,1,59,41,6.5,9.08,1/ 6,0,0
Mark Wood,1,0,49,24,4.0,12.25,0/ 49,0,0
Monu Kumar,1,0,20,12,2.0,10.0,0/ 20,0,0
Krishnakant Upadhyay,3,0,81,54,9.0,9.0,0/ 19,0,0
Sachin Rana,3,0,18,16,2.4,7.5,0/ 2,0,0
Murali Vijay,4,0,49,36,6.0,8.17,0/ 8,0,0
Abdur Razzak,1,0,29,12,2.0,14.5,0/ 29,0,0
Sachin Tendulkar,4,0,58,36,6.0,9.67,0/ 7,0,0
Sarfaraz Khan,1,0,6,2,0.2,30.0,0/ 6,0,0
Gnaneshwara Rao,1,0,7,6,1.0,7.0,0/ 7,0,0
Liam Livingstone,1,0,13,6,1.0,13.0,0/ 13,0,0
Akila Dananjaya,1,0,47,24,4.0,11.75,0/ 47,0,0
Ross Taylor,2,0,24,12,2.0,12.0,0/ 11,0,0
Ray Price,1,0,33,18,3.0,11.0,0/ 33,0,0
Adam Voges,7,0,76,54,9.0,8.44,0/ 5,0,0
Mithun Manhas,3,0,42,42,7.0,6.0,0/ 9,0,0
Mohnsinh Parmar,1,0,33,18,3.0,11.0,0/ 33,0,0
