bowler,batting_team,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Ajantha Mendis,Royal Challengers Bangalore,3,1,90,72,12.0,7.5
Ajinkya Rahane,Punjab Kings,1,1,5,6,1.0,5.0
Ajit Agarkar,Chennai Super Kings,6,2,170,114,19.0,8.95
Ajit Agarkar,Deccan Chargers,6,5,179,108,18.0,9.94
Ajit Agarkar,Delhi Capitals,4,2,105,72,12.0,8.75
Ajit Agarkar,Kochi Tuskers Kerala,2,2,41,42,7.0,5.86
Ajit Agarkar,Kolkata Knight Riders,1,1,34,24,4.0,8.5
Ajit Agarkar,Mumbai Indians,7,5,167,122,20.2,8.27
Ajit Agarkar,Punjab Kings,6,5,173,114,19.0,9.11
Ajit Agarkar,Rajasthan Royals,6,3,160,108,18.0,8.89
Ajit Agarkar,Royal Challengers Bangalore,4,4,122,78,13.0,9.38
Ajit Chandila,Chennai Super Kings,1,1,16,18,3.0,5.33
Ajit Chandila,Deccan Chargers,1,1,20,24,4.0,5.0
Ajit Chandila,Mumbai Indians,2,2,30,24,4.0,7.5
Ajit Chandila,Pune Warriors India,2,4,36,36,6.0,6.0
Ajit Chandila,Punjab Kings,2,1,38,42,7.0,5.43
Ajit Chandila,Royal Challengers Bangalore,3,0,89,72,12.0,7.42
Ajit Chandila,Sunrisers Hyderabad,1,2,13,18,3.0,4.33
Akila Dananjaya,Delhi Capitals,1,0,47,24,4.0,11.75
Albie Morkel,Chennai Super Kings,2,2,49,36,6.0,8.17
Albie Morkel,Deccan Chargers,9,10,246,180,30.0,8.2
Albie Morkel,Delhi Capitals,13,12,356,262,43.4,8.2
Albie Morkel,Gujarat Lions,1,0,30,12,2.0,15.0
Albie Morkel,Kochi Tuskers Kerala,1,0,17,12,2.0,8.5
Albie Morkel,Kolkata Knight Riders,12,7,310,216,36.0,8.61
Albie Morkel,Mumbai Indians,11,9,286,228,38.0,7.53
Albie Morkel,Pune Warriors India,3,3,71,54,9.0,7.89
Albie Morkel,Punjab Kings,11,13,318,237,39.3,8.09
Albie Morkel,Rajasthan Royals,11,14,301,216,36.0,8.36
Albie Morkel,Royal Challengers Bangalore,12,15,340,252,42.0,8.1
Albie Morkel,Sunrisers Hyderabad,1,0,35,18,3.0,11.67
Alfonso Thomas,Chennai Super Kings,2,2,53,45,7.3,7.26
Alfonso Thomas,Deccan Chargers,1,0,27,24,4.0,6.75
Alfonso Thomas,Delhi Capitals,4,3,73,66,11.0,6.64
Alfonso Thomas,Kochi Tuskers Kerala,1,1,31,18,3.0,10.33
Alfonso Thomas,Kolkata Knight Riders,1,1,29,18,3.0,9.67
Alfonso Thomas,Mumbai Indians,2,2,69,48,8.0,8.62
Alfonso Thomas,Punjab Kings,1,2,27,24,4.0,6.75
Alfonso Thomas,Rajasthan Royals,1,1,28,24,4.0,7.0
Alfonso Thomas,Royal Challengers Bangalore,2,2,69,48,8.0,8.62
Ali Murtuza,Delhi Capitals,3,6,54,72,12.0,4.5
Ali Murtuza,Kochi Tuskers Kerala,1,0,37,24,4.0,9.25
Ali Murtuza,Kolkata Knight Riders,3,0,72,60,10.0,7.2
Ali Murtuza,Pune Warriors India,1,2,18,24,4.0,4.5
Ali Murtuza,Rajasthan Royals,2,1,61,48,8.0,7.62
Ali Murtuza,Royal Challengers Bangalore,2,0,71,36,6.0,11.83
Alzarri Joseph,Punjab Kings,1,0,22,12,2.0,11.0
Alzarri Joseph,Rajasthan Royals,1,0,53,18,3.0,17.67
Alzarri Joseph,Sunrisers Hyderabad,1,6,12,22,3.4,3.53
Amit Mishra,Chennai Super Kings,15,13,374,321,53.3,7.02
Amit Mishra,Deccan Chargers,6,11,147,132,22.0,6.68
Amit Mishra,Delhi Capitals,8,6,243,174,29.0,8.38
Amit Mishra,Gujarat Lions,4,2,96,60,10.0,9.6
Amit Mishra,Kochi Tuskers Kerala,1,1,12,24,4.0,3.0
Amit Mishra,Kolkata Knight Riders,20,17,482,420,70.0,6.89
Amit Mishra,Mumbai Indians,21,21,613,480,80.0,7.66
Amit Mishra,Pune Warriors India,6,10,135,128,21.2,6.37
Amit Mishra,Punjab Kings,20,22,521,396,66.0,7.89
Amit Mishra,Rajasthan Royals,19,30,483,420,70.0,6.9
Amit Mishra,Rising Pune Supergiant,4,4,75,72,12.0,6.25
Amit Mishra,Royal Challengers Bangalore,15,15,430,318,53.0,8.11
Amit Mishra,Sunrisers Hyderabad,11,8,256,216,36.0,7.11
Amit Uniyal,Delhi Capitals,1,0,25,12,2.0,12.5
Amit Uniyal,Mumbai Indians,1,2,41,24,4.0,10.25
Anand Rajan,Delhi Capitals,1,1,20,24,4.0,5.0
Anand Rajan,Kolkata Knight Riders,2,2,33,36,6.0,5.5
Anand Rajan,Mumbai Indians,2,3,36,30,5.0,7.2
Anand Rajan,Punjab Kings,1,0,23,12,2.0,11.5
Anand Rajan,Rajasthan Royals,1,1,45,24,4.0,11.25
Anand Rajan,Royal Challengers Bangalore,1,1,44,23,3.5,12.57
Andre Russell,Chennai Super Kings,8,6,182,132,22.0,8.27
Andre Russell,Deccan Chargers,1,0,39,24,4.0,9.75
Andre Russell,Delhi Capitals,9,13,234,174,29.0,8.07
Andre Russell,Gujarat Lions,1,1,21,18,3.0,7.0
Andre Russell,Kolkata Knight Riders,1,0,24,18,3.0,8.0
Andre Russell,Mumbai Indians,11,6,270,175,29.1,9.28
Andre Russell,Punjab Kings,9,14,300,173,28.5,10.53
Andre Russell,Rajasthan Royals,6,6,157,114,19.0,8.26
Andre Russell,Rising Pune Supergiant,2,1,27,24,4.0,6.75
Andre Russell,Royal Challengers Bangalore,10,7,260,163,27.1,9.59
Andre Russell,Sunrisers Hyderabad,10,7,199,132,22.0,9.05
Andrew Flintoff,Delhi Capitals,1,0,50,24,4.0,12.5
Andrew Flintoff,Mumbai Indians,1,1,44,24,4.0,11.0
Andrew Flintoff,Royal Challengers Bangalore,1,1,11,18,3.0,3.67
Andrew McDonald,Chennai Super Kings,1,0,23,12,2.0,11.5
Andrew McDonald,Delhi Capitals,2,2,28,24,4.0,7.0
Andrew McDonald,Kolkata Knight Riders,1,2,37,24,4.0,9.25
Andrew McDonald,Mumbai Indians,1,1,42,24,4.0,10.5
Andrew McDonald,Punjab Kings,2,4,50,48,8.0,6.25
Andrew McDonald,Rajasthan Royals,1,0,17,12,2.0,8.5
Andrew McDonald,Royal Challengers Bangalore,2,2,64,42,7.0,9.14
Andrew Symonds,Chennai Super Kings,3,4,70,66,11.0,6.36
Andrew Symonds,Delhi Capitals,6,5,126,96,16.0,7.88
Andrew Symonds,Kolkata Knight Riders,4,3,100,84,14.0,7.14
Andrew Symonds,Mumbai Indians,2,0,72,48,8.0,9.0
Andrew Symonds,Pune Warriors India,1,0,7,6,1.0,7.0
Andrew Symonds,Punjab Kings,5,3,79,60,10.0,7.9
Andrew Symonds,Rajasthan Royals,4,0,103,65,10.5,9.81
Andrew Symonds,Royal Challengers Bangalore,5,5,117,102,17.0,6.88
Andrew Tye,Chennai Super Kings,4,2,169,90,15.0,11.27
Andrew Tye,Delhi Capitals,3,3,112,73,12.1,9.26
Andrew Tye,Kolkata Knight Riders,4,8,149,90,15.0,9.93
Andrew Tye,Mumbai Indians,5,8,134,102,17.0,7.88
Andrew Tye,Punjab Kings,1,2,35,24,4.0,8.75
Andrew Tye,Rajasthan Royals,2,6,58,48,8.0,7.25
Andrew Tye,Rising Pune Supergiant,1,5,17,24,4.0,4.25
Andrew Tye,Royal Challengers Bangalore,5,4,146,120,20.0,7.3
Andrew Tye,Sunrisers Hyderabad,2,2,51,48,8.0,6.38
André Nel,Delhi Capitals,1,1,31,18,3.0,10.33
Angelo Mathews,Chennai Super Kings,4,1,74,42,7.0,10.57
Angelo Mathews,Deccan Chargers,2,2,52,48,8.0,6.5
Angelo Mathews,Delhi Capitals,4,3,100,60,10.0,10.0
Angelo Mathews,Kolkata Knight Riders,6,2,134,108,18.0,7.44
Angelo Mathews,Mumbai Indians,4,3,106,81,13.3,7.97
Angelo Mathews,Punjab Kings,6,4,132,108,18.0,7.33
Angelo Mathews,Rajasthan Royals,7,4,207,150,25.0,8.28
Angelo Mathews,Royal Challengers Bangalore,7,7,150,116,19.2,7.81
Angelo Mathews,Sunrisers Hyderabad,4,1,124,78,13.0,9.54
Aniket Choudhary,Gujarat Lions,1,0,21,12,2.0,10.5
Aniket Choudhary,Kolkata Knight Riders,1,1,19,17,2.5,7.6
Aniket Choudhary,Mumbai Indians,1,1,32,24,4.0,8.0
Aniket Choudhary,Punjab Kings,1,2,17,24,4.0,4.25
Aniket Choudhary,Sunrisers Hyderabad,1,1,55,24,4.0,13.75
Anil Kumble,Chennai Super Kings,6,7,113,144,24.0,4.71
Anil Kumble,Deccan Chargers,8,13,239,189,31.3,7.64
Anil Kumble,Delhi Capitals,5,5,127,120,20.0,6.35
Anil Kumble,Kolkata Knight Riders,5,4,101,114,19.0,5.32
Anil Kumble,Mumbai Indians,6,3,181,132,22.0,8.23
Anil Kumble,Punjab Kings,6,4,189,140,23.2,8.15
Anil Kumble,Rajasthan Royals,6,9,108,126,21.0,5.14
Ankeet Chavan,Delhi Capitals,2,2,60,48,8.0,7.5
Ankeet Chavan,Kochi Tuskers Kerala,1,0,10,6,1.0,10.0
Ankeet Chavan,Kolkata Knight Riders,3,3,83,62,10.2,8.14
Ankeet Chavan,Mumbai Indians,4,1,93,84,14.0,6.64
Ankeet Chavan,Pune Warriors India,1,0,20,12,2.0,10.0
Ankeet Chavan,Punjab Kings,2,2,60,36,6.0,10.0
Ankit Rajpoot,Chennai Super Kings,2,2,27,30,5.0,5.4
Ankit Rajpoot,Delhi Capitals,1,2,23,24,4.0,5.75
Ankit Rajpoot,Gujarat Lions,1,1,35,18,3.0,11.67
Ankit Rajpoot,Kolkata Knight Riders,2,1,71,42,7.0,10.14
Ankit Rajpoot,Mumbai Indians,9,7,321,174,29.0,11.07
Ankit Rajpoot,Punjab Kings,3,1,65,43,7.1,9.15
Ankit Rajpoot,Rajasthan Royals,2,3,70,42,7.0,10.0
Ankit Rajpoot,Rising Pune Supergiant,1,1,14,12,2.0,7.0
Ankit Rajpoot,Royal Challengers Bangalore,4,0,120,73,12.1,9.92
Ankit Rajpoot,Sunrisers Hyderabad,4,6,67,72,12.0,5.58
Ankit Sharma,Chennai Super Kings,6,5,129,102,17.0,7.59
Ankit Sharma,Delhi Capitals,2,0,34,19,3.1,10.97
Ankit Sharma,Gujarat Lions,1,0,16,6,1.0,16.0
Ankit Sharma,Kolkata Knight Riders,2,1,45,42,7.0,6.43
Ankit Sharma,Mumbai Indians,3,3,70,72,12.0,5.83
Ankit Sharma,Pune Warriors India,2,2,20,24,4.0,5.0
Ankit Sharma,Punjab Kings,1,1,27,24,4.0,6.75
Ankit Sharma,Rajasthan Royals,1,0,33,24,4.0,8.25
Ankit Sharma,Royal Challengers Bangalore,3,0,76,54,9.0,8.44
Ankit Soni,Delhi Capitals,1,0,26,12,2.0,13.0
Ankit Soni,Mumbai Indians,1,1,16,24,4.0,4.0
Ankit Soni,Punjab Kings,1,0,27,18,3.0,9.0
Ankit Soni,Rising Pune Supergiant,1,0,16,24,4.0,4.0
Ankit Soni,Royal Challengers Bangalore,1,1,28,18,3.0,9.33
Ankit Soni,Sunrisers Hyderabad,1,0,31,13,2.1,14.76
Anrich Nortje,Chennai Super Kings,2,4,65,48,8.0,8.12
Anrich Nortje,Kolkata Knight Riders,2,5,60,48,8.0,7.5
Anrich Nortje,Mumbai Indians,4,4,128,78,13.0,9.85
Anrich Nortje,Punjab Kings,1,0,33,24,4.0,8.25
Anrich Nortje,Rajasthan Royals,2,3,58,48,8.0,7.25
Anrich Nortje,Royal Challengers Bangalore,2,5,55,48,8.0,6.88
Anrich Nortje,Sunrisers Hyderabad,3,1,113,72,12.0,9.42
Anukul Roy,Chennai Super Kings,1,1,11,12,2.0,5.5
Anureet Singh,Chennai Super Kings,6,3,192,113,18.5,10.38
Anureet Singh,Deccan Chargers,2,3,90,48,8.0,11.25
Anureet Singh,Delhi Capitals,6,5,151,114,19.0,7.95
Anureet Singh,Kochi Tuskers Kerala,1,1,26,24,4.0,6.5
Anureet Singh,Kolkata Knight Riders,8,6,214,143,23.5,9.11
Anureet Singh,Mumbai Indians,5,8,134,108,18.0,7.44
Anureet Singh,Pune Warriors India,1,0,29,18,3.0,9.67
Anureet Singh,Punjab Kings,4,5,67,66,11.0,6.09
Anureet Singh,Rajasthan Royals,3,6,99,72,12.0,8.25
Anureet Singh,Royal Challengers Bangalore,5,8,123,101,16.5,7.45
Anureet Singh,Sunrisers Hyderabad,4,1,118,78,13.0,9.08
Arshdeep Singh,Delhi Capitals,1,0,30,18,3.0,10.0
Arshdeep Singh,Kolkata Knight Riders,3,1,67,48,8.0,8.38
Arshdeep Singh,Mumbai Indians,1,2,35,18,3.0,11.67
Arshdeep Singh,Rajasthan Royals,2,2,77,42,7.0,11.0
Arshdeep Singh,Royal Challengers Bangalore,1,1,20,12,2.0,10.0
Arshdeep Singh,Sunrisers Hyderabad,3,6,98,71,11.5,8.52
Asad Pathan,Kochi Tuskers Kerala,1,0,19,12,2.0,9.5
Asad Pathan,Mumbai Indians,1,0,30,21,3.3,9.09
Asad Pathan,Punjab Kings,1,0,14,6,1.0,14.0
Ashish Nehra,Chennai Super Kings,8,11,255,192,32.0,7.97
Ashish Nehra,Deccan Chargers,8,7,265,180,30.0,8.83
Ashish Nehra,Delhi Capitals,6,8,163,131,21.5,7.58
Ashish Nehra,Gujarat Lions,2,1,50,48,8.0,6.25
Ashish Nehra,Kolkata Knight Riders,10,7,279,210,35.0,7.97
Ashish Nehra,Mumbai Indians,11,17,357,252,42.0,8.5
Ashish Nehra,Pune Warriors India,1,0,27,24,4.0,6.75
Ashish Nehra,Punjab Kings,14,16,363,275,45.5,7.98
Ashish Nehra,Rajasthan Royals,9,10,214,192,32.0,6.69
Ashish Nehra,Rising Pune Supergiant,3,4,55,49,8.1,6.79
Ashish Nehra,Royal Challengers Bangalore,13,23,391,295,49.1,7.96
Ashish Nehra,Sunrisers Hyderabad,3,2,76,60,10.0,7.6
Ashish Reddy,Chennai Super Kings,3,2,50,28,4.4,11.36
Ashish Reddy,Delhi Capitals,2,1,44,24,4.0,11.0
Ashish Reddy,Kolkata Knight Riders,2,2,29,24,4.0,7.25
Ashish Reddy,Mumbai Indians,1,1,11,13,2.1,5.24
Ashish Reddy,Pune Warriors India,3,4,85,54,9.0,9.44
Ashish Reddy,Punjab Kings,1,2,39,24,4.0,9.75
Ashish Reddy,Rajasthan Royals,2,0,22,18,3.0,7.33
Ashish Reddy,Royal Challengers Bangalore,6,6,116,77,12.5,9.28
Ashley Noffke,Kolkata Knight Riders,1,1,40,24,4.0,10.0
Ashok Menaria,Chennai Super Kings,3,0,40,30,5.0,8.0
Ashok Menaria,Deccan Chargers,1,0,8,6,1.0,8.0
Ashok Menaria,Delhi Capitals,1,0,10,2,0.2,50.0
Ashok Menaria,Kolkata Knight Riders,2,1,21,18,3.0,7.0
Ashok Menaria,Mumbai Indians,2,2,32,30,5.0,6.4
Ashok Menaria,Pune Warriors India,1,0,10,6,1.0,10.0
Ashok Menaria,Punjab Kings,1,0,7,6,1.0,7.0
Ashok Menaria,Royal Challengers Bangalore,1,0,16,12,2.0,8.0
Ashoke Dinda,Chennai Super Kings,7,4,194,138,23.0,8.43
Ashoke Dinda,Deccan Chargers,4,6,108,84,14.0,7.71
Ashoke Dinda,Delhi Capitals,10,12,299,216,36.0,8.31
Ashoke Dinda,Gujarat Lions,1,2,40,24,4.0,10.0
Ashoke Dinda,Kolkata Knight Riders,4,1,105,66,11.0,9.55
Ashoke Dinda,Mumbai Indians,13,13,382,270,45.0,8.49
Ashoke Dinda,Pune Warriors India,1,2,42,24,4.0,10.5
Ashoke Dinda,Punjab Kings,12,7,278,204,34.0,8.18
Ashoke Dinda,Rajasthan Royals,9,5,226,189,31.3,7.22
Ashoke Dinda,Royal Challengers Bangalore,8,10,234,169,28.1,8.33
Ashoke Dinda,Sunrisers Hyderabad,6,7,165,132,22.0,7.5
Avesh Khan,Chennai Super Kings,3,0,98,60,10.0,9.8
Avesh Khan,Delhi Capitals,1,1,23,24,4.0,5.75
Avesh Khan,Kolkata Knight Riders,1,2,29,24,4.0,7.25
Avesh Khan,Punjab Kings,2,2,66,42,7.0,9.43
Avesh Khan,Rajasthan Royals,1,0,36,12,2.0,18.0
Avesh Khan,Sunrisers Hyderabad,1,0,47,18,3.0,15.67
Axar Patel,Chennai Super Kings,11,6,296,252,42.0,7.05
Axar Patel,Delhi Capitals,9,9,244,196,32.4,7.53
Axar Patel,Gujarat Lions,4,6,103,78,13.0,7.92
Axar Patel,Kolkata Knight Riders,13,8,319,276,46.0,6.93
Axar Patel,Mumbai Indians,15,9,399,294,49.0,8.14
Axar Patel,Punjab Kings,3,4,63,66,11.0,5.73
Axar Patel,Rajasthan Royals,10,11,250,222,37.0,6.76
Axar Patel,Rising Pune Supergiant,4,3,109,78,13.0,8.38
Axar Patel,Royal Challengers Bangalore,13,15,311,276,46.0,6.76
Axar Patel,Sunrisers Hyderabad,14,9,362,281,46.5,7.78
Azhar Mahmood,Chennai Super Kings,3,5,87,72,12.0,7.25
Azhar Mahmood,Deccan Chargers,2,2,70,48,8.0,8.75
Azhar Mahmood,Delhi Capitals,3,2,97,68,11.2,8.66
Azhar Mahmood,Kolkata Knight Riders,2,6,56,48,8.0,7.0
Azhar Mahmood,Mumbai Indians,4,4,118,95,15.5,7.61
Azhar Mahmood,Pune Warriors India,2,4,61,48,8.0,7.62
Azhar Mahmood,Rajasthan Royals,3,0,101,66,11.0,9.18
Azhar Mahmood,Royal Challengers Bangalore,3,5,74,69,11.3,6.55
Azhar Mahmood,Sunrisers Hyderabad,1,1,36,23,3.5,10.29
Balachandra Akhil,Chennai Super Kings,3,0,40,36,6.0,6.67
Balachandra Akhil,Deccan Chargers,3,2,63,48,8.0,7.88
Balachandra Akhil,Delhi Capitals,4,1,71,50,8.2,8.66
Balachandra Akhil,Kolkata Knight Riders,1,1,32,18,3.0,10.67
Balachandra Akhil,Mumbai Indians,2,2,36,36,6.0,6.0
Barinder Sran,Chennai Super Kings,1,0,37,24,4.0,9.25
Barinder Sran,Delhi Capitals,3,3,100,60,10.0,10.0
Barinder Sran,Gujarat Lions,3,2,85,60,10.0,8.5
Barinder Sran,Kolkata Knight Riders,7,5,251,138,23.0,10.91
Barinder Sran,Mumbai Indians,2,5,46,45,7.3,6.3
Barinder Sran,Punjab Kings,2,0,62,36,6.0,10.33
Barinder Sran,Rising Pune Supergiant,1,1,26,24,4.0,6.5
Barinder Sran,Royal Challengers Bangalore,2,2,77,42,7.0,11.0
Barinder Sran,Sunrisers Hyderabad,3,0,73,54,9.0,8.11
Basil Thampi,Delhi Capitals,3,2,124,70,11.4,10.88
Basil Thampi,Kolkata Knight Riders,2,2,90,48,8.0,11.25
Basil Thampi,Mumbai Indians,4,5,107,83,13.5,7.93
Basil Thampi,Punjab Kings,3,3,106,62,10.2,10.39
Basil Thampi,Rajasthan Royals,1,1,26,12,2.0,13.0
Basil Thampi,Rising Pune Supergiant,2,2,56,42,7.0,8.0
Basil Thampi,Royal Challengers Bangalore,4,2,164,96,16.0,10.25
Basil Thampi,Sunrisers Hyderabad,1,0,21,12,2.0,10.5
Ben Cutting,Chennai Super Kings,1,0,14,6,1.0,14.0
Ben Cutting,Delhi Capitals,3,2,94,60,10.0,9.4
Ben Cutting,Gujarat Lions,2,2,49,36,6.0,8.17
Ben Cutting,Kolkata Knight Riders,4,3,90,66,11.0,8.18
Ben Cutting,Mumbai Indians,1,0,18,12,2.0,9.0
Ben Cutting,Punjab Kings,3,1,54,31,5.1,10.59
Ben Cutting,Royal Challengers Bangalore,2,2,70,46,7.4,9.46
Ben Cutting,Sunrisers Hyderabad,1,0,40,24,4.0,10.0
Ben Laughlin,Chennai Super Kings,1,2,38,24,4.0,9.5
Ben Laughlin,Delhi Capitals,1,2,20,12,2.0,10.0
Ben Laughlin,Kolkata Knight Riders,2,2,72,41,6.5,11.08
Ben Laughlin,Mumbai Indians,2,1,71,42,7.0,10.14
Ben Laughlin,Royal Challengers Bangalore,2,3,61,36,6.0,10.17
Ben Laughlin,Sunrisers Hyderabad,1,0,20,13,2.1,9.52
Ben Rohrer,Rajasthan Royals,1,0,12,6,1.0,12.0
Ben Stokes,Chennai Super Kings,5,3,166,96,16.0,10.38
Ben Stokes,Delhi Capitals,4,2,124,78,13.0,9.54
Ben Stokes,Gujarat Lions,2,0,54,42,7.0,7.71
Ben Stokes,Kolkata Knight Riders,5,4,107,89,14.5,7.38
Ben Stokes,Mumbai Indians,4,5,114,90,15.0,7.6
Ben Stokes,Punjab Kings,6,6,157,120,20.0,7.85
Ben Stokes,Royal Challengers Bangalore,3,4,79,60,10.0,7.9
Ben Stokes,Sunrisers Hyderabad,7,4,161,102,17.0,9.47
Benjamin Hilfenhaus,Deccan Chargers,1,1,31,24,4.0,7.75
Benjamin Hilfenhaus,Delhi Capitals,4,6,87,78,13.0,6.69
Benjamin Hilfenhaus,Kolkata Knight Riders,4,3,115,78,13.0,8.85
Benjamin Hilfenhaus,Mumbai Indians,3,5,118,72,12.0,9.83
Benjamin Hilfenhaus,Punjab Kings,2,2,56,48,8.0,7.0
Benjamin Hilfenhaus,Rajasthan Royals,2,3,40,48,8.0,5.0
Benjamin Hilfenhaus,Sunrisers Hyderabad,1,2,32,24,4.0,8.0
Beuran Hendricks,Chennai Super Kings,1,1,25,18,3.0,8.33
Beuran Hendricks,Delhi Capitals,1,3,36,24,4.0,9.0
Beuran Hendricks,Kolkata Knight Riders,1,1,35,24,4.0,8.75
Beuran Hendricks,Mumbai Indians,1,1,33,24,4.0,8.25
Beuran Hendricks,Rajasthan Royals,1,0,57,24,4.0,14.25
Beuran Hendricks,Royal Challengers Bangalore,1,1,9,12,2.0,4.5
Beuran Hendricks,Sunrisers Hyderabad,1,2,40,24,4.0,10.0
Bharat Chipli,Delhi Capitals,1,0,20,6,1.0,20.0
Bhargav Bhatt,Chennai Super Kings,2,0,48,30,5.0,9.6
Bhargav Bhatt,Deccan Chargers,1,0,33,18,3.0,11.0
Bhargav Bhatt,Delhi Capitals,1,1,11,12,2.0,5.5
Bhargav Bhatt,Kochi Tuskers Kerala,1,0,36,24,4.0,9.0
Bhargav Bhatt,Kolkata Knight Riders,4,4,99,87,14.3,6.92
Bhargav Bhatt,Mumbai Indians,4,4,115,83,13.5,8.52
Bhargav Bhatt,Pune Warriors India,1,1,35,24,4.0,8.75
Bhargav Bhatt,Rajasthan Royals,1,2,20,18,3.0,6.67
Bhuvneshwar Kumar,Chennai Super Kings,14,10,345,314,52.2,6.61
Bhuvneshwar Kumar,Deccan Chargers,4,2,90,78,13.0,6.92
Bhuvneshwar Kumar,Delhi Capitals,16,13,498,384,64.0,7.78
Bhuvneshwar Kumar,Gujarat Lions,5,12,130,116,19.2,6.77
Bhuvneshwar Kumar,Kolkata Knight Riders,21,27,577,456,76.0,7.59
Bhuvneshwar Kumar,Mumbai Indians,14,18,283,282,47.0,6.02
Bhuvneshwar Kumar,Punjab Kings,14,21,374,316,52.4,7.14
Bhuvneshwar Kumar,Rajasthan Royals,11,12,340,255,42.3,8.04
Bhuvneshwar Kumar,Rising Pune Supergiant,4,3,115,90,15.0,7.67
Bhuvneshwar Kumar,Royal Challengers Bangalore,16,14,466,358,59.4,7.85
Bhuvneshwar Kumar,Sunrisers Hyderabad,2,4,35,48,8.0,4.38
Billy Stanlake,Chennai Super Kings,1,0,38,24,4.0,9.5
Billy Stanlake,Delhi Capitals,1,2,29,24,4.0,7.25
Billy Stanlake,Kolkata Knight Riders,1,2,21,24,4.0,5.25
Billy Stanlake,Mumbai Indians,1,2,42,24,4.0,10.5
Billy Stanlake,Punjab Kings,1,0,41,24,4.0,10.25
Billy Stanlake,Rajasthan Royals,1,1,29,24,4.0,7.25
Bipul Sharma,Chennai Super Kings,1,0,11,6,1.0,11.0
Bipul Sharma,Deccan Chargers,1,1,19,12,2.0,9.5
Bipul Sharma,Gujarat Lions,3,2,55,54,9.0,6.11
Bipul Sharma,Kochi Tuskers Kerala,1,2,32,24,4.0,8.0
Bipul Sharma,Kolkata Knight Riders,7,1,94,74,12.2,7.7
Bipul Sharma,Mumbai Indians,3,2,77,60,10.0,7.7
Bipul Sharma,Pune Warriors India,1,0,40,16,2.4,16.67
Bipul Sharma,Punjab Kings,1,2,13,12,2.0,6.5
Bipul Sharma,Rajasthan Royals,3,1,61,54,9.0,6.78
Bipul Sharma,Rising Pune Supergiant,3,2,86,54,9.0,9.56
Bipul Sharma,Royal Challengers Bangalore,4,4,84,60,10.0,8.4
Brad Hodge,Chennai Super Kings,3,2,40,36,6.0,6.67
Brad Hodge,Deccan Chargers,3,3,50,36,6.0,8.33
Brad Hodge,Delhi Capitals,2,0,20,18,3.0,6.67
Brad Hodge,Mumbai Indians,2,2,42,30,5.0,8.4
Brad Hodge,Pune Warriors India,1,2,14,12,2.0,7.0
Brad Hodge,Punjab Kings,3,1,47,30,5.0,9.4
Brad Hodge,Rajasthan Royals,3,4,47,36,6.0,7.83
Brad Hodge,Royal Challengers Bangalore,2,3,40,30,5.0,8.0
Brad Hodge,Sunrisers Hyderabad,1,0,3,6,1.0,3.0
Brad Hogg,Chennai Super Kings,3,6,65,72,12.0,5.42
Brad Hogg,Deccan Chargers,1,0,33,24,4.0,8.25
Brad Hogg,Delhi Capitals,5,7,148,114,19.0,7.79
Brad Hogg,Gujarat Lions,1,1,19,12,2.0,9.5
Brad Hogg,Kolkata Knight Riders,2,1,51,44,7.2,7.08
Brad Hogg,Mumbai Indians,3,2,98,72,12.0,8.17
Brad Hogg,Punjab Kings,2,0,58,36,6.0,9.67
Brad Hogg,Royal Challengers Bangalore,3,4,81,60,10.0,8.1
Brad Hogg,Sunrisers Hyderabad,1,2,17,24,4.0,4.25
Brett Geeves,Mumbai Indians,1,1,50,24,4.0,12.5
Brett Geeves,Rajasthan Royals,1,0,41,24,4.0,10.25
Brett Lee,Chennai Super Kings,5,2,135,120,20.0,6.75
Brett Lee,Deccan Chargers,4,3,100,96,16.0,6.25
Brett Lee,Delhi Capitals,7,8,192,156,26.0,7.38
Brett Lee,Kochi Tuskers Kerala,2,1,75,48,8.0,9.38
Brett Lee,Kolkata Knight Riders,1,0,39,24,4.0,9.75
Brett Lee,Mumbai Indians,7,3,214,159,26.3,8.14
Brett Lee,Pune Warriors India,1,0,28,24,4.0,7.0
Brett Lee,Punjab Kings,2,2,53,48,8.0,6.62
Brett Lee,Rajasthan Royals,5,5,125,110,18.2,6.87
Brett Lee,Royal Challengers Bangalore,4,1,134,90,15.0,8.93
Cameron White,Delhi Capitals,1,0,19,6,1.0,19.0
Cameron White,Kolkata Knight Riders,2,0,32,12,2.0,16.0
Cameron White,Mumbai Indians,1,0,19,12,2.0,9.5
Cameron White,Pune Warriors India,1,0,2,6,1.0,2.0
Cameron White,Royal Challengers Bangalore,1,1,14,6,1.0,14.0
Carlos Brathwaite,Chennai Super Kings,2,1,58,33,5.3,10.94
Carlos Brathwaite,Delhi Capitals,1,0,13,6,1.0,13.0
Carlos Brathwaite,Gujarat Lions,1,1,38,24,4.0,9.5
Carlos Brathwaite,Kolkata Knight Riders,4,7,92,64,10.4,8.85
Carlos Brathwaite,Punjab Kings,2,0,53,36,6.0,8.83
Carlos Brathwaite,Rajasthan Royals,1,0,16,12,2.0,8.0
Carlos Brathwaite,Rising Pune Supergiant,1,0,17,12,2.0,8.5
Carlos Brathwaite,Royal Challengers Bangalore,3,2,65,43,7.1,9.15
Carlos Brathwaite,Sunrisers Hyderabad,1,2,27,24,4.0,6.75
