bowler,batting_team,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Venugopal Rao,Mumbai Indians,2,2,58,42,7.0,8.29
Venugopal Rao,Pune Warriors India,1,0,14,6,1.0,14.0
Venugopal Rao,Punjab Kings,5,1,56,42,7.0,8.0
Venugopal Rao,Rajasthan Royals,2,2,38,18,3.0,12.67
Venugopal Rao,Royal Challengers Bangalore,3,0,38,18,3.0,12.67
Vidyut Sivaramakrishnan,Rajasthan Royals,1,1,22,12,2.0,11.0
Vijay Shankar,Chennai Super Kings,2,2,33,24,4.0,8.25
Vijay Shankar,Delhi Capitals,2,1,28,23,3.5,8.0
Vijay Shankar,Kolkata Knight Riders,3,1,42,36,6.0,7.0
Vijay Shankar,Rajasthan Royals,4,1,69,48,8.0,8.62
Vijay Shankar,Royal Challengers Bangalore,3,1,43,26,4.2,10.24
Vijay Shankar,Sunrisers Hyderabad,1,0,14,6,1.0,14.0
Vikram Singh,Chennai Super Kings,4,1,125,66,11.0,11.36
Vikram Singh,Deccan Chargers,2,1,74,48,8.0,9.25
Vikram Singh,Delhi Capitals,3,3,67,42,7.0,9.57
Vikram Singh,Kolkata Knight Riders,2,3,59,48,8.0,7.38
Vikram Singh,Mumbai Indians,2,1,96,48,8.0,12.0
Vikram Singh,Rajasthan Royals,2,0,51,48,8.0,6.38
Vikram Singh,Royal Challengers Bangalore,3,3,70,60,10.0,7.0
Vikramjeet Malik,Chennai Super Kings,1,0,19,18,3.0,6.33
Vikramjeet Malik,Deccan Chargers,2,1,36,25,4.1,8.78
Vikramjeet Malik,Delhi Capitals,1,0,11,6,1.0,11.0
Vikramjeet Malik,Kolkata Knight Riders,3,1,64,54,9.0,7.11
Vikramjeet Malik,Mumbai Indians,3,1,59,48,8.0,7.38
Vikramjeet Malik,Punjab Kings,1,1,29,18,3.0,9.67
Vikramjeet Malik,Royal Challengers Bangalore,1,0,29,18,3.0,9.67
Vikramjeet Malik,Sunrisers Hyderabad,1,2,14,18,3.0,4.67
Vikrant Yeligati,Chennai Super Kings,1,0,16,6,1.0,16.0
Vikrant Yeligati,Punjab Kings,1,0,43,24,4.0,10.75
Vinay Kumar,Chennai Super Kings,17,17,483,292,48.4,9.98
Vinay Kumar,Deccan Chargers,6,13,162,134,22.2,7.3
Vinay Kumar,Delhi Capitals,14,9,437,308,51.2,8.54
Vinay Kumar,Gujarat Lions,1,2,17,18,3.0,5.67
Vinay Kumar,Kolkata Knight Riders,12,19,307,263,43.5,7.06
Vinay Kumar,Mumbai Indians,13,11,402,276,46.0,8.74
Vinay Kumar,Pune Warriors India,5,10,136,114,19.0,7.16
Vinay Kumar,Punjab Kings,11,4,304,203,33.5,9.07
Vinay Kumar,Rajasthan Royals,14,11,406,287,47.5,8.55
Vinay Kumar,Rising Pune Supergiant,1,0,14,12,2.0,7.0
Vinay Kumar,Royal Challengers Bangalore,5,6,144,100,16.4,8.78
Vinay Kumar,Sunrisers Hyderabad,5,3,154,114,19.0,8.11
Virat Kohli,Chennai Super Kings,6,1,101,60,10.0,10.1
Virat Kohli,Deccan Chargers,3,2,66,52,8.4,7.86
Virat Kohli,Delhi Capitals,2,0,23,18,3.0,7.67
Virat Kohli,Gujarat Lions,1,0,13,6,1.0,13.0
Virat Kohli,Kochi Tuskers Kerala,1,1,14,12,2.0,7.0
Virat Kohli,Kolkata Knight Riders,4,0,37,20,3.2,11.56
Virat Kohli,Mumbai Indians,2,0,25,18,3.0,8.33
Virat Kohli,Punjab Kings,4,0,52,30,5.0,10.4
Virat Kohli,Rajasthan Royals,3,0,37,35,5.5,6.73
Virender Sehwag,Chennai Super Kings,5,3,99,60,10.0,9.9
Virender Sehwag,Deccan Chargers,1,0,25,6,1.0,25.0
Virender Sehwag,Kolkata Knight Riders,1,0,7,6,1.0,7.0
Virender Sehwag,Mumbai Indians,1,1,2,6,1.0,2.0
Virender Sehwag,Pune Warriors India,1,0,9,6,1.0,9.0
Virender Sehwag,Punjab Kings,2,0,25,12,2.0,12.5
Virender Sehwag,Rajasthan Royals,3,2,38,28,4.4,8.64
Virender Sehwag,Royal Challengers Bangalore,1,0,30,12,2.0,15.0
Washington Sundar,Chennai Super Kings,3,2,57,48,8.0,7.12
Washington Sundar,Delhi Capitals,5,4,127,114,19.0,6.68
Washington Sundar,Gujarat Lions,1,0,12,12,2.0,6.0
Washington Sundar,Kolkata Knight Riders,5,6,132,102,17.0,7.76
Washington Sundar,Mumbai Indians,7,5,134,138,23.0,5.83
Washington Sundar,Punjab Kings,4,2,94,72,12.0,7.83
Washington Sundar,Rajasthan Royals,3,0,75,66,11.0,6.82
Washington Sundar,Royal Challengers Bangalore,1,1,7,12,2.0,3.5
Washington Sundar,Sunrisers Hyderabad,6,4,111,90,15.0,7.4
Wayne Parnell,Chennai Super Kings,1,1,25,24,4.0,6.25
Wayne Parnell,Deccan Chargers,3,3,90,68,11.2,8.04
Wayne Parnell,Delhi Capitals,2,1,62,30,5.0,12.4
Wayne Parnell,Kochi Tuskers Kerala,1,3,35,24,4.0,8.75
