bowler,season,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Dwayne Bravo,2016,15,17,494,336,56.0,8.82,4/ 22,1,0
Sandeep Sharma,2016,14,15,366,300,50.0,7.32,2/ 11,0,0
Jasprit Bumrah,2016,14,15,406,312,52.0,7.81,3/ 13,0,0
Andre Russell,2016,12,15,291,219,36.3,8.02,4/ 20,1,0
Barinder Sran,2016,14,14,413,297,49.3,8.38,3/ 28,0,0
Chris Morris,2016,12,13,308,264,44.0,7.0,2/ 30,0,0
Amit Mishra,2016,14,13,344,276,46.0,7.48,4/ 11,1,0
Axar Patel,2016,14,13,388,287,47.5,8.17,4/ 21,1,0
Mohit Sharma,2016,14,13,407,291,48.3,8.43,3/ 23,0,0
Adam Zampa,2016,5,12,115,102,17.0,6.76,6/ 19,0,1
Moises Henriques,2016,17,12,415,312,52.0,7.98,2/ 17,0,0
Sunil Narine,2016,11,11,304,256,42.4,7.17,3/ 26,0,0
Sreenath Aravind,2016,9,11,216,175,29.1,7.42,2/ 18,0,0
Ashoke Dinda,2016,9,11,231,183,30.3,7.62,3/ 20,0,0
Piyush Chawla,2016,11,11,273,212,35.2,7.76,2/ 21,0,0
Chris Jordan,2016,9,11,258,168,28.0,9.21,4/ 11,1,0
Ravichandran Ashwin,2016,14,10,319,264,44.0,7.25,4/ 34,1,0
Zaheer Khan,2016,12,10,337,262,43.4,7.76,3/ 21,0,0
Morne Morkel,2016,10,10,297,213,35.3,8.41,2/ 27,0,0
Umesh Yadav,2016,9,10,234,156,26.0,9.0,3/ 28,0,0
Ashish Nehra,2016,8,9,199,156,26.0,7.65,3/ 15,0,0
Tim Southee,2016,11,9,329,258,43.0,7.65,3/ 24,0,0
Praveen Kumar,2016,16,9,401,309,51.3,7.82,2/ 19,0,0
Harbhajan Singh,2016,14,9,392,294,49.0,8.0,2/ 29,0,0
Thisara Perera,2016,11,9,326,199,33.1,9.85,3/ 34,0,0
Ravindra Jadeja,2016,14,8,311,241,40.1,7.76,2/ 18,0,0
Marcus Stoinis,2016,7,8,194,138,23.0,8.43,4/ 15,1,0
Dwayne Smith,2016,8,8,153,108,18.0,8.5,4/ 8,1,0
Carlos Brathwaite,2016,8,7,189,139,23.1,8.18,3/ 47,0,0
Murugan Ashwin,2016,10,7,241,171,28.3,8.52,3/ 36,0,0
Kane Richardson,2016,4,7,136,84,14.0,9.71,3/ 13,0,0
Rajat Bhatia,2016,10,6,244,204,34.0,7.18,2/ 19,0,0
Krunal Pandya,2016,11,6,236,187,31.1,7.59,2/ 15,0,0
Kuldeep Yadav,2016,3,6,100,72,12.0,8.33,3/ 35,0,0
Shivil Kaushik,2016,7,6,192,138,23.0,8.35,3/ 20,0,0
Iqbal Abdulla,2016,8,6,213,150,25.0,8.52,3/ 40,0,0
Ben Cutting,2016,4,5,80,67,11.1,7.21,2/ 20,0,0
Shakib Al Hasan,2016,9,5,243,186,31.0,7.84,1/ 14,0,0
Imran Tahir,2016,4,5,138,96,16.0,8.62,3/ 24,0,0
Pravin Tambe,2016,7,5,143,96,16.0,8.94,2/ 12,0,0
Mohammed Shami,2016,8,5,244,151,25.1,9.72,2/ 34,0,0
Mitchell Marsh,2016,3,4,45,54,9.0,5.0,2/ 14,0,0
Brad Hogg,2016,5,4,142,96,16.0,8.88,3/ 19,0,0
Vinay Kumar,2016,3,3,64,54,9.0,7.11,2/ 17,0,0
Deepak Hooda,2016,6,3,97,78,13.0,7.46,2/ 16,0,0
Nathan Coulter-Nile,2016,4,3,114,90,15.0,7.6,2/ 25,0,0
Pardeep Sahu,2016,5,3,146,105,17.3,8.44,2/ 18,0,0
Bipul Sharma,2016,6,3,121,84,14.0,8.64,1/ 10,0,0
Ankit Rajpoot,2016,4,3,98,66,11.0,8.91,1/ 14,0,0
Tabraiz Shamsi,2016,4,3,147,96,16.0,9.19,1/ 21,0,0
RP Singh,2016,4,3,111,72,12.0,9.25,1/ 23,0,0
Hardik Pandya,2016,10,3,153,100,16.4,9.33,1/ 7,0,0
KC Cariappa,2016,5,3,159,102,17.0,9.35,2/ 16,0,0
Ishant Sharma,2016,4,3,148,90,15.0,9.87,2/ 36,0,0
Sachin Baby,2016,2,2,8,10,1.4,5.71,2/ 4,0,0
John Hastings,2016,2,2,37,40,6.4,5.78,2/ 6,0,0
Chris Gayle,2016,4,2,63,60,10.0,6.3,2/ 11,0,0
Jayant Yadav,2016,5,2,125,102,17.0,7.35,1/ 23,0,0
Scott Boland,2016,2,2,54,42,7.0,7.71,2/ 31,0,0
Gurkeerat Singh,2016,3,2,31,24,4.0,7.75,2/ 15,0,0
JP Duminy,2016,5,2,55,42,7.0,7.86,1/ 4,0,0
Jason Holder,2016,4,2,103,78,13.0,7.92,2/ 33,0,0
Rishi Dhawan,2016,2,2,56,42,7.0,8.0,1/ 21,0,0
Shahbaz Nadeem,2016,4,2,127,90,15.0,8.47,2/ 23,0,0
Shadab Jakati,2016,6,2,178,120,20.0,8.9,1/ 13,0,0
Mitchell Johnson,2016,3,2,106,66,11.0,9.64,1/ 35,0,0
Varun Aaron,2016,8,2,227,142,23.4,9.7,2/ 37,0,0
James Faulkner,2016,7,2,167,102,17.0,9.82,1/ 23,0,0
Kyle Abbott,2016,5,2,177,96,16.0,11.06,1/ 38,0,0
Albie Morkel,2016,2,2,66,30,5.0,13.2,2/ 36,0,0
Yusuf Pathan,2016,4,1,33,36,6.0,5.5,1/ 6,0,0
Ankit Sharma,2016,3,1,84,66,11.0,7.64,1/ 27,0,0
Stuart Binny,2016,11,1,134,102,17.0,7.88,1/ 17,0,0
Parvez Rasool,2016,4,1,129,84,14.0,9.21,1/ 31,0,0
Pawan Negi,2016,5,1,84,54,9.0,9.33,1/ 19,0,0
Trent Boult,2016,1,1,39,24,4.0,9.75,1/ 39,0,0
Rajagopal Sathish,2016,3,1,59,36,6.0,9.83,1/ 20,0,0
Harshal Patel,2016,5,1,147,84,14.0,10.5,1/ 46,0,0
Adam Milne,2016,1,1,43,24,4.0,10.75,1/ 43,0,0
Ashish Reddy,2016,2,1,39,23,3.5,11.14,1/ 14,0,0
Nitish Rana,2016,1,0,3,6,1.0,3.0,0/ 3,0,0
Shreyas Gopal,2016,1,0,18,18,3.0,6.0,0/ 18,0,0
Kane Williamson,2016,1,0,7,6,1.0,7.0,0/ 7,0,0
Anureet Singh,2016,2,0,43,36,6.0,7.17,0/ 15,0,0
Colin Munro,2016,2,0,15,12,2.0,7.5,0/ 7,0,0
Irfan Pathan,2016,3,0,61,48,8.0,7.62,0/ 7,0,0
Murali Vijay,2016,1,0,8,6,1.0,8.0,0/ 8,0,0
Deepak Chahar,2016,2,0,41,30,5.0,8.2,0/ 13,0,0
Suresh Raina,2016,4,0,82,60,10.0,8.2,0/ 15,0,0
Dale Steyn,2016,1,0,17,12,2.0,8.5,0/ 17,0,0
Yuvraj Singh,2016,5,0,52,37,6.1,8.52,0/ 7,0,0
Glenn Maxwell,2016,7,0,80,54,9.0,8.89,0/ 3,0,0
Swapnil Singh,2016,1,0,29,18,3.0,9.67,0/ 29,0,0
Sarabjit Ladda,2016,1,0,21,12,2.0,10.5,0/ 21,0,0
Karn Sharma,2016,5,0,171,98,16.2,10.56,0/ 24,0,0
David Wiese,2016,1,0,49,24,4.0,12.25,0/ 49,0,0
Pradeep Sangwan,2016,2,0,49,24,4.0,12.25,0/ 21,0,0
Virat Kohli,2016,1,0,13,6,1.0,13.0,0/ 13,0,0
Kieron Pollard,2016,4,0,81,36,6.0,13.5,0/ 11,0,0
Jagadeesha Suchith,2016,1,0,31,12,2.0,15.5,0/ 31,0,0
Jaydev Unadkat,2016,1,0,49,18,3.0,16.33,0/ 49,0,0
Bhuvneshwar Kumar,2017,14,26,369,314,52.2,7.07,5/ 19,0,1
Jaydev Unadkat,2017,12,24,322,275,45.5,7.08,5/ 30,0,1
Jasprit Bumrah,2017,16,20,441,356,59.2,7.45,3/ 7,0,0
Mitchell McClenaghan,2017,14,19,507,324,54.0,9.39,3/ 24,0,0
Imran Tahir,2017,12,18,369,282,47.0,7.85,3/ 18,0,0
Rashid Khan,2017,14,17,358,324,54.0,6.63,3/ 19,0,0
Sandeep Sharma,2017,13,17,398,288,48.0,8.29,4/ 20,1,0
Umesh Yadav,2017,14,17,410,291,48.3,8.49,4/ 33,1,0
Chris Woakes,2017,13,17,386,264,44.0,8.77,3/ 6,0,0
Pawan Negi,2017,12,16,197,193,32.1,6.14,3/ 10,0,0
Siddarth Kaul,2017,10,16,300,214,35.4,8.47,4/ 29,1,0
Axar Patel,2017,14,15,362,288,48.0,7.54,3/ 11,0,0
Nathan Coulter-Nile,2017,8,15,228,170,28.2,8.09,3/ 20,0,0
Pat Cummins,2017,12,15,373,277,46.1,8.09,2/ 20,0,0
Yuzvendra Chahal,2017,13,14,333,261,43.3,7.69,3/ 16,0,0
Karn Sharma,2017,9,13,214,184,30.4,7.04,4/ 16,1,0
Mohit Sharma,2017,14,13,410,274,45.4,9.03,2/ 24,0,0
Andrew Tye,2017,6,12,141,126,21.0,6.71,5/ 17,0,1
Ben Stokes,2017,12,12,316,264,44.0,7.18,3/ 18,0,0
Chris Morris,2017,9,12,240,186,31.0,7.74,4/ 26,1,0
Kuldeep Yadav,2017,11,12,340,246,41.0,8.29,2/ 25,0,0
Daniel Christian,2017,13,11,298,240,40.0,7.45,2/ 10,0,0
Shardul Thakur,2017,12,11,315,229,38.1,8.27,3/ 19,0,0
Lasith Malinga,2017,12,11,381,269,44.5,8.56,2/ 5,0,0
Basil Thampi,2017,12,11,424,268,44.4,9.55,3/ 29,0,0
Krunal Pandya,2017,13,10,273,240,40.0,6.83,3/ 14,0,0
Sunil Narine,2017,15,10,412,354,59.0,6.98,2/ 29,0,0
Zaheer Khan,2017,11,10,313,241,40.1,7.81,3/ 20,0,0
Amit Mishra,2017,14,10,343,233,38.5,8.91,3/ 11,0,0
Mohammed Siraj,2017,6,10,212,138,23.0,9.22,4/ 32,1,0
Samuel Badree,2017,7,9,188,150,25.0,7.52,4/ 9,1,0
Washington Sundar,2017,10,8,185,180,30.0,6.17,3/ 16,0,0
Harbhajan Singh,2017,11,8,266,246,41.0,6.49,3/ 22,0,0
Ashish Nehra,2017,6,8,197,127,21.1,9.34,3/ 42,0,0
Glenn Maxwell,2017,8,7,125,114,19.0,6.58,2/ 15,0,0
Mitchell Johnson,2017,5,7,141,120,20.0,7.05,3/ 26,0,0
Varun Aaron,2017,6,7,163,120,20.0,8.15,2/ 3,0,0
Adam Zampa,2017,6,7,163,119,19.5,8.36,2/ 22,0,0
Shahbaz Nadeem,2017,7,6,119,107,17.5,6.8,2/ 13,0,0
Hardik Pandya,2017,13,6,213,156,26.0,8.19,2/ 22,0,0
Kagiso Rabada,2017,6,6,188,128,21.2,8.87,2/ 20,0,0
Piyush Chawla,2017,6,6,179,120,20.0,8.95,2/ 34,0,0
Praveen Kumar,2017,6,6,151,99,16.3,9.26,2/ 22,0,0
James Faulkner,2017,8,6,258,158,26.2,9.85,2/ 34,0,0
Aniket Choudhary,2017,5,5,144,101,16.5,8.73,2/ 17,0,0
Tymal Mills,2017,5,5,153,107,17.5,8.74,2/ 31,0,0
Sreenath Aravind,2017,10,5,275,183,30.3,9.08,2/ 29,0,0
Ravindra Jadeja,2017,12,5,349,228,38.0,9.18,2/ 28,0,0
Trent Boult,2017,6,5,216,143,23.5,9.19,2/ 30,0,0
Shane Watson,2017,8,5,245,161,26.5,9.25,1/ 16,0,0
Mohammed Shami,2017,8,5,243,156,26.0,9.35,2/ 36,0,0
Pradeep Sangwan,2017,5,5,181,108,18.0,10.06,2/ 38,0,0
Ankit Rajpoot,2017,5,4,107,84,14.0,7.64,3/ 37,0,0
Stuart Binny,2017,4,4,50,36,6.0,8.33,1/ 9,0,0
Colin de Grandhomme,2017,9,4,135,96,16.0,8.44,3/ 4,0,0
KC Cariappa,2017,4,4,127,90,15.0,8.47,2/ 24,0,0
Rahul Tewatia,2017,3,3,49,54,9.0,5.44,2/ 18,0,0
Lockie Ferguson,2017,4,3,93,78,13.0,7.15,2/ 7,0,0
Bipul Sharma,2017,7,3,129,98,16.2,7.96,1/ 4,0,0
Dhawal Kulkarni,2017,6,3,173,113,18.5,9.35,1/ 24,0,0
Adam Milne,2017,4,3,134,84,14.0,9.57,2/ 27,0,0
Tim Southee,2017,3,3,96,60,10.0,9.6,2/ 39,0,0
Corey Anderson,2017,8,3,186,113,18.5,10.05,1/ 23,0,0
Harshal Patel,2017,1,3,43,24,4.0,10.75,3/ 43,0,0
Mohammad Nabi,2017,3,2,58,66,11.0,5.27,1/ 13,0,0
Rajat Bhatia,2017,3,2,55,42,7.0,7.86,2/ 14,0,0
Ankit Soni,2017,6,2,144,109,18.1,7.96,1/ 16,0,0
Rahul Chahar,2017,2,2,58,42,7.0,8.29,1/ 26,0,0
Billy Stanlake,2017,2,2,70,48,8.0,8.75,2/ 29,0,0
T Natarajan,2017,6,2,115,76,12.4,9.27,1/ 26,0,0
Travis Head,2017,5,2,81,48,8.0,10.12,2/ 30,0,0
Vinay Kumar,2017,1,2,31,18,3.0,10.33,2/ 31,0,0
Deepak Hooda,2017,3,2,42,24,4.0,10.5,1/ 7,0,0
Marcus Stoinis,2017,5,2,110,63,10.3,10.68,1/ 28,0,0
Iqbal Abdulla,2017,2,2,55,30,5.0,11.0,2/ 36,0,0
Dwayne Smith,2017,9,2,148,78,13.0,11.38,1/ 10,0,0
Nathu Singh,2017,2,1,15,24,4.0,3.75,1/ 7,0,0
Avesh Khan,2017,1,1,23,24,4.0,5.75,1/ 23,0,0
Munaf Patel,2017,2,1,57,42,7.0,8.14,1/ 35,0,0
Suresh Raina,2017,6,1,102,72,12.0,8.5,1/ 11,0,0
Swapnil Singh,2017,4,1,61,42,7.0,8.71,1/ 14,0,0
Chris Jordan,2017,1,1,9,6,1.0,9.0,1/ 9,0,0
Ben Cutting,2017,4,1,123,76,12.4,9.92,1/ 41,0,0
Yusuf Pathan,2017,4,1,41,24,4.0,10.25,1/ 2,0,0
Moises Henriques,2017,12,1,248,144,24.0,10.33,1/ 6,0,0
Shubham Agarwal,2017,1,1,42,24,4.0,10.5,1/ 42,0,0
Deepak Chahar,2017,3,1,74,42,7.0,10.57,1/ 35,0,0
Yuvraj Singh,2017,2,1,22,12,2.0,11.0,1/ 6,0,0
Carlos Brathwaite,2017,2,1,67,36,6.0,11.17,1/ 38,0,0
Ashoke Dinda,2017,3,1,119,60,10.0,11.9,1/ 26,0,0
Matt Henry,2017,2,1,71,30,5.0,14.2,1/ 31,0,0
Jayant Yadav,2017,2,0,42,36,6.0,7.0,0/ 16,0,0
Shivil Kaushik,2017,3,0,105,66,11.0,9.55,0/ 29,0,0
Ishant Sharma,2017,6,0,179,108,18.0,9.94,0/ 12,0,0
Tejas Baroka,2017,1,0,33,21,3.3,10.0,0/ 33,0,0
Shakib Al Hasan,2017,1,0,31,18,3.0,10.33,0/ 31,0,0
Shadab Jakati,2017,2,0,52,30,5.0,10.4,0/ 22,0,0
Angelo Mathews,2017,2,0,56,30,5.0,11.2,0/ 15,0,0
Marlon Samuels,2017,2,0,34,18,3.0,11.33,0/ 12,0,0
Rahul Tripathi,2017,1,0,12,6,1.0,12.0,0/ 12,0,0
Anureet Singh,2017,1,0,26,12,2.0,13.0,0/ 26,0,0
Irfan Pathan,2017,1,0,26,12,2.0,13.0,0/ 26,0,0
Mustafizur Rahman,2017,1,0,34,16,2.4,14.17,0/ 34,0,0
Barinder Sran,2017,1,0,29,12,2.0,14.5,0/ 29,0,0
Ankit Sharma,2017,1,0,16,6,1.0,16.0,0/ 16,0,0
Manpreet Gony,2017,1,0,32,12,2.0,16.0,0/ 32,0,0
Kieron Pollard,2017,1,0,30,11,1.5,20.0,0/ 30,0,0
Andrew Tye,2018,14,24,448,336,56.0,8.0,4/ 16,3,0
Rashid Khan,2018,17,21,458,408,68.0,6.74,3/ 19,0,0
Siddarth Kaul,2018,17,21,547,396,66.0,8.29,3/ 23,0,0
Umesh Yadav,2018,14,20,418,319,53.1,7.87,3/ 23,0,0
Trent Boult,2018,14,18,466,316,52.4,8.89,2/ 20,0,0
Hardik Pandya,2018,13,18,381,256,42.4,8.99,3/ 24,0,0
Jasprit Bumrah,2018,14,17,372,324,54.0,6.89,3/ 15,0,0
Sunil Narine,2018,16,17,467,366,61.0,7.66,3/ 18,0,0
Kuldeep Yadav,2018,16,17,418,308,51.2,8.16,4/ 20,1,0
Shardul Thakur,2018,13,16,431,280,46.4,9.29,2/ 18,0,0
Mayank Markande,2018,14,15,368,264,44.0,8.36,4/ 23,1,0
Jofra Archer,2018,10,15,325,233,38.5,8.44,3/ 22,0,0
Mujeeb Ur Rahman,2018,11,14,289,248,41.2,7.01,3/ 27,0,0
Shakib Al Hasan,2018,17,14,456,342,57.0,8.0,2/ 18,0,0
Mitchell McClenaghan,2018,11,14,332,240,40.0,8.3,2/ 22,0,0
Piyush Chawla,2018,15,14,412,294,49.0,8.41,3/ 48,0,0
Dwayne Bravo,2018,16,14,533,321,53.3,10.0,2/ 16,0,0
Andre Russell,2018,15,13,355,227,37.5,9.47,3/ 31,0,0
Krunal Pandya,2018,13,12,284,241,40.1,7.08,3/ 28,0,0
Amit Mishra,2018,10,12,264,222,37.0,7.14,3/ 19,0,0
Yuzvendra Chahal,2018,14,12,363,300,50.0,7.26,2/ 22,0,0
Sandeep Sharma,2018,12,12,333,264,44.0,7.57,2/ 17,0,0
Lungi Ngidi,2018,7,11,156,156,26.0,6.0,4/ 10,1,0
Ravindra Jadeja,2018,14,11,303,246,41.0,7.39,3/ 18,0,0
Shreyas Gopal,2018,10,11,236,186,31.0,7.61,4/ 16,1,0
Krishnappa Gowtham,2018,15,11,312,240,40.0,7.8,2/ 12,0,0
Ankit Rajpoot,2018,8,11,223,157,26.1,8.54,5/ 14,0,1
Mohammed Siraj,2018,11,11,367,246,41.0,8.95,3/ 25,0,0
Jaydev Unadkat,2018,15,11,486,302,50.2,9.68,3/ 46,0,0
Deepak Chahar,2018,12,10,278,229,38.1,7.3,3/ 15,0,0
Ravichandran Ashwin,2018,14,10,410,304,50.4,8.13,2/ 18,0,0
Prasidh Krishna,2018,7,10,260,168,28.0,9.29,4/ 30,1,0
Bhuvneshwar Kumar,2018,12,9,354,277,46.1,7.68,3/ 26,0,0
Ben Laughlin,2018,7,9,211,126,21.0,10.05,2/ 15,0,0
Ben Stokes,2018,12,8,303,222,37.0,8.19,3/ 15,0,0
Chris Woakes,2018,5,8,190,110,18.2,10.44,3/ 36,0,0
Mustafizur Rahman,2018,7,7,230,165,27.3,8.42,3/ 24,0,0
Harbhajan Singh,2018,12,7,270,191,31.5,8.57,2/ 22,0,0
Harshal Patel,2018,5,7,167,105,17.3,9.65,3/ 28,0,0
Mohit Sharma,2018,9,7,322,178,29.4,10.95,2/ 33,0,0
Rahul Tewatia,2018,8,6,173,132,22.0,7.86,3/ 18,0,0
Shane Watson,2018,11,6,251,168,28.0,8.96,2/ 29,0,0
Imran Tahir,2018,6,6,188,124,20.4,9.22,2/ 34,0,0
Tom Curran,2018,5,6,118,61,10.1,11.68,2/ 19,0,0
Ish Sodhi,2018,6,5,135,138,23.0,5.87,1/ 14,0,0
Sandeep Lamichhane,2018,3,5,82,72,12.0,6.83,3/ 36,0,0
Billy Stanlake,2018,4,5,130,96,16.0,8.12,2/ 21,0,0
Glenn Maxwell,2018,10,5,132,96,16.0,8.25,2/ 22,0,0
Tim Southee,2018,8,5,261,174,29.0,9.0,3/ 30,0,0
Carlos Brathwaite,2018,4,5,94,61,10.1,9.31,2/ 15,0,0
Shivam Mavi,2018,9,5,270,168,28.0,9.64,1/ 14,0,0
Basil Thampi,2018,4,5,114,61,10.1,11.29,2/ 4,0,0
Nitish Rana,2018,5,4,44,37,6.1,7.21,2/ 11,0,0
Daniel Christian,2018,4,4,101,71,11.5,8.78,2/ 35,0,0
Liam Plunkett,2018,7,4,225,150,25.0,9.0,3/ 17,0,0
Karn Sharma,2018,5,4,89,57,9.3,9.57,2/ 13,0,0
Washington Sundar,2018,7,4,192,120,20.0,9.6,2/ 22,0,0
Dhawal Kulkarni,2018,8,4,188,119,19.5,9.64,2/ 32,0,0
Barinder Sran,2018,6,4,229,132,22.0,10.41,2/ 50,0,0
Avesh Khan,2018,6,4,204,114,19.0,10.74,2/ 29,0,0
Moeen Ali,2018,5,3,97,79,13.1,7.4,1/ 13,0,0
Murugan Ashwin,2018,2,3,53,42,7.0,7.57,2/ 36,0,0
Axar Patel,2018,8,3,218,156,26.0,8.38,1/ 21,0,0
Chris Morris,2018,4,3,143,84,14.0,10.21,2/ 41,0,0
Mohammed Shami,2018,4,3,144,83,13.5,10.67,1/ 29,0,0
Shahbaz Nadeem,2018,6,3,161,90,15.0,10.73,2/ 34,0,0
Marcus Stoinis,2018,6,3,120,66,11.0,10.91,1/ 15,0,0
KM Asif,2018,2,3,75,36,6.0,12.5,2/ 43,0,0
Corey Anderson,2018,3,3,115,52,8.4,13.69,2/ 47,0,0
Colin de Grandhomme,2018,7,2,129,90,15.0,8.6,1/ 8,0,0
David Willey,2018,3,2,95,60,10.0,9.5,1/ 24,0,0
Ben Cutting,2018,7,2,168,102,17.0,9.88,1/ 12,0,0
Kulwant Khejroliya,2018,3,2,107,65,10.5,10.19,2/ 33,0,0
Mitchell Johnson,2018,6,2,216,126,21.0,10.29,1/ 30,0,0
Javon Searles,2018,3,2,89,42,7.0,12.71,1/ 24,0,0
Vinay Kumar,2018,2,2,65,23,3.5,18.57,2/ 30,0,0
D'Arcy Short,2018,2,1,19,18,3.0,6.33,1/ 10,0,0
Yusuf Pathan,2018,1,1,14,12,2.0,7.0,1/ 14,0,0
Mohammad Nabi,2018,2,1,47,30,5.0,9.4,1/ 23,0,0
Anureet Singh,2018,3,1,42,24,4.0,10.5,1/ 20,0,0
Vijay Shankar,2018,4,1,58,30,5.0,11.6,1/ 22,0,0
Pawan Negi,2018,2,1,49,24,4.0,12.25,1/ 36,0,0
Chris Jordan,2018,1,0,31,24,4.0,7.75,0/ 31,0,0
Deepak Hooda,2018,2,0,24,18,3.0,8.0,0/ 8,0,0
Mahipal Lomror,2018,2,0,27,18,3.0,9.0,0/ 8,0,0
Pradeep Sangwan,2018,1,0,19,12,2.0,9.5,0/ 19,0,0
Manoj Tiwary,2018,1,0,10,6,1.0,10.0,0/ 10,0,0
Ankit Sharma,2018,1,0,11,6,1.0,11.0,0/ 11,0,0
Junior Dala,2018,1,0,34,18,3.0,11.33,0/ 34,0,0
Yuvraj Singh,2018,2,0,23,12,2.0,11.5,0/ 10,0,0
Akila Dananjaya,2018,1,0,47,24,4.0,11.75,0/ 47,0,0
JP Duminy,2018,2,0,36,18,3.0,12.0,0/ 8,0,0
Mark Wood,2018,1,0,49,24,4.0,12.25,0/ 49,0,0
Khaleel Ahmed,2018,1,0,38,18,3.0,12.67,0/ 38,0,0
Stuart Binny,2018,1,0,33,12,2.0,16.5,0/ 33,0,0
Imran Tahir,2019,17,26,431,386,64.2,6.71,4/ 12,2,0
Kagiso Rabada,2019,12,25,368,282,47.0,7.83,4/ 21,2,0
Deepak Chahar,2019,17,22,482,387,64.3,7.5,3/ 20,0,0
Shreyas Gopal,2019,14,20,347,288,48.0,7.23,3/ 12,0,0
Jasprit Bumrah,2019,16,19,409,370,61.4,6.66,3/ 20,0,0
Khaleel Ahmed,2019,9,19,287,209,34.5,8.32,3/ 30,0,0
Mohammed Shami,2019,14,19,469,324,54.0,8.69,3/ 21,0,0
Yuzvendra Chahal,2019,14,18,386,296,49.2,7.85,4/ 38,1,0
Rashid Khan,2019,15,17,377,360,60.0,6.28,3/ 21,0,0
Harbhajan Singh,2019,11,16,312,264,44.0,7.09,3/ 20,0,0
Lasith Malinga,2019,12,16,438,269,44.5,9.84,4/ 31,2,0
Ravindra Jadeja,2019,16,15,343,324,54.0,6.35,3/ 9,0,0
Ravichandran Ashwin,2019,14,15,400,330,55.0,7.27,3/ 23,0,0
Hardik Pandya,2019,16,14,390,255,42.3,9.22,3/ 20,0,0
Rahul Chahar,2019,13,13,308,282,47.0,6.55,3/ 19,0,0
Ishant Sharma,2019,13,13,349,276,46.0,7.59,3/ 38,0,0
Bhuvneshwar Kumar,2019,15,13,461,354,59.0,7.81,2/ 24,0,0
Chris Morris,2019,9,13,306,198,33.0,9.27,3/ 22,0,0
Krunal Pandya,2019,16,12,335,276,46.0,7.28,3/ 34,0,0
Sandeep Sharma,2019,11,12,352,256,42.4,8.3,3/ 19,0,0
Jofra Archer,2019,11,11,290,259,43.1,6.73,3/ 14,0,0
Amit Mishra,2019,11,11,270,240,40.0,6.75,3/ 17,0,0
Dwayne Bravo,2019,12,11,330,247,41.1,8.03,3/ 33,0,0
Navdeep Saini,2019,13,11,397,288,48.0,8.27,2/ 24,0,0
Andre Russell,2019,12,11,287,181,30.1,9.53,2/ 21,0,0
Axar Patel,2019,14,10,364,306,51.0,7.14,2/ 22,0,0
Sunil Narine,2019,12,10,347,266,44.2,7.85,2/ 19,0,0
Piyush Chawla,2019,13,10,399,267,44.3,9.01,3/ 20,0,0
Sam Curran,2019,9,10,323,198,33.0,9.79,4/ 11,1,0
Jaydev Unadkat,2019,11,10,398,224,37.2,10.7,2/ 26,0,0
Keemo Paul,2019,8,9,237,163,27.1,8.75,3/ 17,0,0
Mohammad Nabi,2019,8,8,194,175,29.1,6.67,4/ 11,1,0
Sandeep Lamichhane,2019,6,8,210,138,23.0,9.13,3/ 40,0,0
Shardul Thakur,2019,9,8,281,180,30.0,9.37,2/ 18,0,0
Umesh Yadav,2019,11,8,371,227,37.5,9.89,3/ 36,0,0
Harry Gurney,2019,8,7,238,162,27.0,8.81,2/ 25,0,0
Mohammed Siraj,2019,9,7,269,169,28.1,9.57,2/ 38,0,0
Hardus Viljoen,2019,6,7,222,138,23.0,9.65,2/ 39,0,0
Moeen Ali,2019,9,6,169,150,25.0,6.76,2/ 18,0,0
Siddarth Kaul,2019,7,6,242,162,27.0,8.96,2/ 34,0,0
Dhawal Kulkarni,2019,10,6,335,210,35.0,9.57,1/ 14,0,0
Alzarri Joseph,2019,3,6,87,52,8.4,10.36,6/ 12,0,1
Ben Stokes,2019,6,6,189,101,16.5,11.45,2/ 39,0,0
Murugan Ashwin,2019,10,5,255,204,34.0,7.5,2/ 25,0,0
Oshane Thomas,2019,4,5,79,60,10.0,7.9,2/ 6,0,0
Trent Boult,2019,5,5,163,114,19.0,8.58,2/ 27,0,0
Jason Behrendorff,2019,5,5,165,114,19.0,8.68,2/ 22,0,0
Mitchell Santner,2019,4,4,94,84,14.0,6.71,2/ 13,0,0
Washington Sundar,2019,3,4,74,54,9.0,8.22,3/ 24,0,0
Dale Steyn,2019,2,4,69,48,8.0,8.62,2/ 29,0,0
Kuldeep Yadav,2019,9,4,286,198,33.0,8.67,2/ 41,0,0
Prasidh Krishna,2019,11,4,377,242,40.2,9.38,1/ 22,0,0
Ish Sodhi,2019,2,4,67,43,7.1,9.44,3/ 26,0,0
Varun Aaron,2019,5,4,116,72,12.0,9.67,2/ 20,0,0
Mitchell McClenaghan,2019,5,3,142,108,18.0,7.89,3/ 40,0,0
Nitish Rana,2019,6,3,72,48,8.0,9.0,1/ 8,0,0
Pawan Negi,2019,4,3,102,67,11.1,9.19,2/ 21,0,0
Ankit Rajpoot,2019,4,3,152,96,16.0,9.5,2/ 33,0,0
Mujeeb Ur Rahman,2019,5,3,191,114,19.0,10.05,2/ 31,0,0
Andrew Tye,2019,6,3,233,132,22.0,10.59,1/ 37,0,0
Arshdeep Singh,2019,3,3,109,60,10.0,10.9,2/ 43,0,0
Rahul Tewatia,2019,3,2,42,38,6.2,6.77,1/ 10,0,0
