bowler,batting_team,season,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Amit Mishra,Rajasthan Royals,2014,2,2,39,48,8.0,4.88
Amit Mishra,Rajasthan Royals,2015,2,2,73,48,8.0,9.12
Amit Mishra,Rajasthan Royals,2018,1,1,12,12,2.0,6.0
Amit Mishra,Rajasthan Royals,2019,2,3,45,42,7.0,6.43
Amit Mishra,Rising Pune Supergiant,2016,2,1,38,36,6.0,6.33
Amit Mishra,Rising Pune Supergiant,2017,2,3,37,36,6.0,6.17
Amit Mishra,Royal Challengers Bangalore,2009,1,1,19,24,4.0,4.75
Amit Mishra,Royal Challengers Bangalore,2010,2,5,55,48,8.0,6.88
Amit Mishra,Royal Challengers Bangalore,2011,1,1,41,24,4.0,10.25
Amit Mishra,Royal Challengers Bangalore,2012,2,4,54,48,8.0,6.75
Amit Mishra,Royal Challengers Bangalore,2013,2,1,57,48,8.0,7.12
Amit Mishra,Royal Challengers Bangalore,2015,1,0,25,12,2.0,12.5
Amit Mishra,Royal Challengers Bangalore,2016,2,0,59,42,7.0,8.43
Amit Mishra,Royal Challengers Bangalore,2017,2,0,58,24,4.0,14.5
Amit Mishra,Royal Challengers Bangalore,2018,1,1,33,24,4.0,8.25
Amit Mishra,Royal Challengers Bangalore,2019,1,2,29,24,4.0,7.25
Amit Mishra,Sunrisers Hyderabad,2015,2,0,48,30,5.0,9.6
Amit Mishra,Sunrisers Hyderabad,2016,2,2,40,36,6.0,6.67
Amit Mishra,Sunrisers Hyderabad,2017,2,1,56,42,7.0,8.0
Amit Mishra,Sunrisers Hyderabad,2018,2,2,48,42,7.0,6.86
Amit Mishra,Sunrisers Hyderabad,2019,2,1,29,42,7.0,4.14
Amit Mishra,Sunrisers Hyderabad,2020,1,2,35,24,4.0,8.75
Amit Uniyal,Delhi Capitals,2010,1,0,25,12,2.0,12.5
Amit Uniyal,Mumbai Indians,2010,1,2,41,24,4.0,10.25
Anand Rajan,Delhi Capitals,2013,1,1,20,24,4.0,5.0
Anand Rajan,Kolkata Knight Riders,2012,1,1,11,12,2.0,5.5
Anand Rajan,Kolkata Knight Riders,2013,1,1,22,24,4.0,5.5
Anand Rajan,Mumbai Indians,2011,1,3,27,18,3.0,9.0
Anand Rajan,Mumbai Indians,2012,1,0,9,12,2.0,4.5
Anand Rajan,Punjab Kings,2011,1,0,23,12,2.0,11.5
Anand Rajan,Rajasthan Royals,2012,1,1,45,24,4.0,11.25
Anand Rajan,Royal Challengers Bangalore,2012,1,1,44,23,3.5,12.57
Andre Russell,Chennai Super Kings,2012,1,0,30,24,4.0,7.5
Andre Russell,Chennai Super Kings,2014,1,1,25,12,2.0,12.5
Andre Russell,Chennai Super Kings,2015,2,4,46,48,8.0,5.75
Andre Russell,Chennai Super Kings,2018,2,0,47,30,5.0,9.4
Andre Russell,Chennai Super Kings,2019,1,0,16,6,1.0,16.0
Andre Russell,Chennai Super Kings,2020,1,1,18,12,2.0,9.0
Andre Russell,Deccan Chargers,2012,1,0,39,24,4.0,9.75
