bowler,batting_team,season,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Harbhajan Singh,Delhi Capitals,2014,2,1,53,48,8.0,6.62
Harbhajan Singh,Delhi Capitals,2015,2,2,45,48,8.0,5.62
Harbhajan Singh,Delhi Capitals,2016,2,2,58,42,7.0,8.29
Harbhajan Singh,Delhi Capitals,2017,2,3,48,48,8.0,6.0
Harbhajan Singh,Delhi Capitals,2018,2,0,50,36,6.0,8.33
Harbhajan Singh,Delhi Capitals,2019,3,3,89,72,12.0,7.42
Harbhajan Singh,Gujarat Lions,2016,2,1,56,36,6.0,9.33
Harbhajan Singh,Gujarat Lions,2017,2,2,45,48,8.0,5.62
Harbhajan Singh,Kochi Tuskers Kerala,2011,1,0,33,24,4.0,8.25
Harbhajan Singh,Kolkata Knight Riders,2009,2,0,39,36,6.0,6.5
Harbhajan Singh,Kolkata Knight Riders,2010,1,1,17,24,4.0,4.25
Harbhajan Singh,Kolkata Knight Riders,2011,2,1,52,42,7.0,7.43
Harbhajan Singh,Kolkata Knight Riders,2012,2,0,31,24,4.0,7.75
Harbhajan Singh,Kolkata Knight Riders,2013,2,3,62,36,6.0,10.33
Harbhajan Singh,Kolkata Knight Riders,2014,2,2,47,42,7.0,6.71
Harbhajan Singh,Kolkata Knight Riders,2015,2,2,69,48,8.0,8.62
Harbhajan Singh,Kolkata Knight Riders,2016,2,2,63,48,8.0,7.88
Harbhajan Singh,Kolkata Knight Riders,2017,1,0,27,24,4.0,6.75
Harbhajan Singh,Kolkata Knight Riders,2018,2,2,31,30,5.0,6.2
Harbhajan Singh,Kolkata Knight Riders,2019,1,2,15,24,4.0,3.75
Harbhajan Singh,Mumbai Indians,2018,2,1,34,35,5.5,6.18
Harbhajan Singh,Mumbai Indians,2019,3,1,75,72,12.0,6.25
Harbhajan Singh,Pune Warriors India,2011,1,1,17,18,3.0,5.67
Harbhajan Singh,Pune Warriors India,2012,2,3,34,42,7.0,4.86
Harbhajan Singh,Pune Warriors India,2013,2,2,34,42,7.0,4.86
Harbhajan Singh,Punjab Kings,2008,1,3,32,24,4.0,8.0
Harbhajan Singh,Punjab Kings,2009,2,2,32,48,8.0,4.0
Harbhajan Singh,Punjab Kings,2010,2,0,60,48,8.0,7.5
Harbhajan Singh,Punjab Kings,2011,2,2,45,42,7.0,6.43
Harbhajan Singh,Punjab Kings,2012,2,0,63,42,7.0,9.0
Harbhajan Singh,Punjab Kings,2013,2,4,47,48,8.0,5.88
Harbhajan Singh,Punjab Kings,2014,1,2,34,24,4.0,8.5
Harbhajan Singh,Punjab Kings,2015,2,3,47,48,8.0,5.88
Harbhajan Singh,Punjab Kings,2016,2,0,60,48,8.0,7.5
Harbhajan Singh,Punjab Kings,2017,2,0,57,30,5.0,11.4
Harbhajan Singh,Punjab Kings,2018,2,1,54,30,5.0,10.8
Harbhajan Singh,Punjab Kings,2019,2,5,74,48,8.0,9.25
Harbhajan Singh,Rajasthan Royals,2009,1,1,31,24,4.0,7.75
Harbhajan Singh,Rajasthan Royals,2010,1,1,21,24,4.0,5.25
Harbhajan Singh,Rajasthan Royals,2011,2,0,47,30,5.0,9.4
Harbhajan Singh,Rajasthan Royals,2012,2,0,74,42,7.0,10.57
Harbhajan Singh,Rajasthan Royals,2013,3,5,78,72,12.0,6.5
Harbhajan Singh,Rajasthan Royals,2014,2,3,56,48,8.0,7.0
Harbhajan Singh,Rajasthan Royals,2015,1,0,34,24,4.0,8.5
Harbhajan Singh,Rajasthan Royals,2018,1,1,29,12,2.0,14.5
Harbhajan Singh,Rising Pune Supergiant,2016,2,2,49,42,7.0,7.0
Harbhajan Singh,Rising Pune Supergiant,2017,1,1,20,24,4.0,5.0
Harbhajan Singh,Royal Challengers Bangalore,2008,1,2,36,24,4.0,9.0
Harbhajan Singh,Royal Challengers Bangalore,2009,2,2,29,36,6.0,4.83
Harbhajan Singh,Royal Challengers Bangalore,2010,3,5,107,72,12.0,8.92
Harbhajan Singh,Royal Challengers Bangalore,2011,2,0,67,48,8.0,8.38
Harbhajan Singh,Royal Challengers Bangalore,2012,2,1,51,42,7.0,7.29
Harbhajan Singh,Royal Challengers Bangalore,2013,2,3,42,48,8.0,5.25
Harbhajan Singh,Royal Challengers Bangalore,2014,2,2,47,48,8.0,5.88
Harbhajan Singh,Royal Challengers Bangalore,2015,2,3,57,36,6.0,9.5
Harbhajan Singh,Royal Challengers Bangalore,2016,2,0,39,30,5.0,7.8
Harbhajan Singh,Royal Challengers Bangalore,2017,1,0,23,24,4.0,5.75
Harbhajan Singh,Royal Challengers Bangalore,2018,2,2,46,36,6.0,7.67
Harbhajan Singh,Royal Challengers Bangalore,2019,1,3,20,24,4.0,5.0
Harbhajan Singh,Sunrisers Hyderabad,2013,2,1,54,42,7.0,7.71
Harbhajan Singh,Sunrisers Hyderabad,2014,2,0,43,48,8.0,5.38
Harbhajan Singh,Sunrisers Hyderabad,2015,2,1,54,42,7.0,7.71
Harbhajan Singh,Sunrisers Hyderabad,2016,2,2,67,48,8.0,8.38
Harbhajan Singh,Sunrisers Hyderabad,2017,2,2,46,48,8.0,5.75
Harbhajan Singh,Sunrisers Hyderabad,2018,1,0,26,12,2.0,13.0
Harbhajan Singh,Sunrisers Hyderabad,2019,1,2,39,24,4.0,9.75
Hardik Pandya,Chennai Super Kings,2015,2,0,40,30,5.0,8.0
Hardik Pandya,Chennai Super Kings,2018,2,4,63,48,8.0,7.88
Hardik Pandya,Chennai Super Kings,2019,4,4,58,54,9.0,6.44
Hardik Pandya,Delhi Capitals,2015,2,1,27,24,4.0,6.75
Hardik Pandya,Delhi Capitals,2016,1,1,7,6,1.0,7.0
Hardik Pandya,Delhi Capitals,2017,2,1,25,24,4.0,6.25
Hardik Pandya,Delhi Capitals,2018,2,0,68,36,6.0,11.33
Hardik Pandya,Delhi Capitals,2019,2,2,58,36,6.0,9.67
Hardik Pandya,Gujarat Lions,2016,2,0,26,18,3.0,8.67
Hardik Pandya,Gujarat Lions,2017,1,0,15,6,1.0,15.0
Hardik Pandya,Kolkata Knight Riders,2015,1,0,10,6,1.0,10.0
Hardik Pandya,Kolkata Knight Riders,2016,2,2,37,24,4.0,9.25
Hardik Pandya,Kolkata Knight Riders,2017,2,2,26,30,5.0,5.2
Hardik Pandya,Kolkata Knight Riders,2018,2,4,35,42,7.0,5.0
Hardik Pandya,Kolkata Knight Riders,2019,2,3,51,36,6.0,8.5
Hardik Pandya,Punjab Kings,2017,2,0,47,24,4.0,11.75
Hardik Pandya,Punjab Kings,2018,2,1,86,48,8.0,10.75
Hardik Pandya,Punjab Kings,2019,2,2,96,42,7.0,13.71
Hardik Pandya,Rajasthan Royals,2018,2,4,77,40,6.4,12.03
Hardik Pandya,Rajasthan Royals,2019,2,0,42,33,5.3,7.92
Hardik Pandya,Rising Pune Supergiant,2016,2,0,26,16,2.4,10.83
Hardik Pandya,Rising Pune Supergiant,2017,2,1,51,30,5.0,10.2
Hardik Pandya,Royal Challengers Bangalore,2015,2,0,88,36,6.0,14.67
Hardik Pandya,Royal Challengers Bangalore,2016,1,0,18,12,2.0,9.0
Hardik Pandya,Royal Challengers Bangalore,2017,2,1,14,18,3.0,4.67
Hardik Pandya,Royal Challengers Bangalore,2018,2,3,32,24,4.0,8.0
Hardik Pandya,Royal Challengers Bangalore,2019,2,1,58,36,6.0,9.67
Hardik Pandya,Sunrisers Hyderabad,2015,1,0,11,6,1.0,11.0
Hardik Pandya,Sunrisers Hyderabad,2016,2,0,39,24,4.0,9.75
Hardik Pandya,Sunrisers Hyderabad,2017,2,1,35,24,4.0,8.75
Hardik Pandya,Sunrisers Hyderabad,2018,1,2,20,18,3.0,6.67
Hardik Pandya,Sunrisers Hyderabad,2019,2,2,27,18,3.0,9.0
Hardus Viljoen,Delhi Capitals,2019,2,3,61,42,7.0,8.71
Hardus Viljoen,Kolkata Knight Riders,2019,1,1,36,24,4.0,9.0
Hardus Viljoen,Mumbai Indians,2019,2,2,74,48,8.0,9.25
Hardus Viljoen,Royal Challengers Bangalore,2019,1,1,51,24,4.0,12.75
Harmeet Singh,Chennai Super Kings,2010,2,2,43,48,8.0,5.38
Harmeet Singh,Chennai Super Kings,2011,1,1,26,18,3.0,8.67
Harmeet Singh,Delhi Capitals,2009,1,0,15,18,3.0,5.0
Harmeet Singh,Delhi Capitals,2010,1,2,41,24,4.0,10.25
Harmeet Singh,Delhi Capitals,2011,1,2,27,24,4.0,6.75
Harmeet Singh,Delhi Capitals,2012,1,0,22,18,3.0,7.33
Harmeet Singh,Delhi Capitals,2013,1,3,24,24,4.0,6.0
Harmeet Singh,Kolkata Knight Riders,2009,2,1,63,47,7.5,8.4
Harmeet Singh,Kolkata Knight Riders,2010,1,0,21,12,2.0,10.5
Harmeet Singh,Kolkata Knight Riders,2012,2,1,53,36,6.0,8.83
Harmeet Singh,Kolkata Knight Riders,2013,1,1,24,20,3.2,7.5
Harmeet Singh,Mumbai Indians,2009,2,0,47,24,4.0,11.75
Harmeet Singh,Pune Warriors India,2012,2,5,47,38,6.2,7.58
Harmeet Singh,Rajasthan Royals,2010,1,2,25,24,4.0,6.25
Harmeet Singh,Rajasthan Royals,2012,1,1,23,18,3.0,7.67
Harmeet Singh,Royal Challengers Bangalore,2009,2,2,67,48,8.0,8.38
Harmeet Singh,Royal Challengers Bangalore,2010,3,2,44,36,6.0,7.33
Harmeet Singh,Royal Challengers Bangalore,2012,1,0,46,24,4.0,11.5
Harmeet Singh,Sunrisers Hyderabad,2013,1,1,39,24,4.0,9.75
Harmeet Singh (2),Pune Warriors India,2013,1,1,34,24,4.0,8.5
Harpreet Brar,Chennai Super Kings,2019,1,0,24,18,3.0,8.0
Harpreet Brar,Chennai Super Kings,2020,1,0,41,24,4.0,10.25
Harpreet Brar,Delhi Capitals,2019,1,0,24,12,2.0,12.0
Harry Gurney,Chennai Super Kings,2019,2,1,57,36,6.0,9.5
Harry Gurney,Mumbai Indians,2019,2,2,57,42,7.0,8.14
Harry Gurney,Punjab Kings,2019,1,1,41,24,4.0,10.25
Harry Gurney,Rajasthan Royals,2019,1,2,25,24,4.0,6.25
Harry Gurney,Royal Challengers Bangalore,2019,1,1,42,24,4.0,10.5
Harry Gurney,Sunrisers Hyderabad,2019,1,0,16,12,2.0,8.0
Harshal Patel,Chennai Super Kings,2015,3,4,73,71,11.5,6.35
Harshal Patel,Chennai Super Kings,2018,1,1,23,24,4.0,5.75
Harshal Patel,Deccan Chargers,2012,1,0,26,24,4.0,6.5
Harshal Patel,Delhi Capitals,2012,2,0,43,36,6.0,7.17
Harshal Patel,Delhi Capitals,2015,2,3,44,42,7.0,6.29
Harshal Patel,Delhi Capitals,2016,1,0,32,18,3.0,10.67
Harshal Patel,Delhi Capitals,2017,1,3,43,24,4.0,10.75
Harshal Patel,Kolkata Knight Riders,2012,2,1,81,42,7.0,11.57
Harshal Patel,Kolkata Knight Riders,2015,2,1,59,36,6.0,9.83
Harshal Patel,Kolkata Knight Riders,2019,1,2,40,24,4.0,10.0
Harshal Patel,Kolkata Knight Riders,2020,1,2,34,24,4.0,8.5
Harshal Patel,Mumbai Indians,2012,2,3,49,48,8.0,6.12
Harshal Patel,Mumbai Indians,2014,1,1,28,24,4.0,7.0
Harshal Patel,Mumbai Indians,2015,1,2,36,24,4.0,9.0
Harshal Patel,Mumbai Indians,2016,1,0,20,12,2.0,10.0
Harshal Patel,Mumbai Indians,2018,1,3,28,15,2.3,12.17
Harshal Patel,Mumbai Indians,2020,2,0,28,18,3.0,9.33
Harshal Patel,Pune Warriors India,2012,2,2,65,48,8.0,8.12
Harshal Patel,Punjab Kings,2012,1,1,44,24,4.0,11.0
Harshal Patel,Punjab Kings,2014,1,2,56,18,3.0,18.67
Harshal Patel,Punjab Kings,2015,2,3,25,24,4.0,6.25
Harshal Patel,Punjab Kings,2019,1,0,37,24,4.0,9.25
Harshal Patel,Rajasthan Royals,2012,1,2,32,24,4.0,8.0
Harshal Patel,Rajasthan Royals,2015,2,4,38,42,7.0,5.43
Harshal Patel,Rajasthan Royals,2020,1,1,29,24,4.0,7.25
Harshal Patel,Rising Pune Supergiant,2016,1,1,46,24,4.0,11.5
Harshal Patel,Royal Challengers Bangalore,2018,2,2,84,42,7.0,12.0
Harshal Patel,Royal Challengers Bangalore,2020,1,0,43,24,4.0,10.75
Harshal Patel,Sunrisers Hyderabad,2014,1,1,29,24,4.0,7.25
Harshal Patel,Sunrisers Hyderabad,2015,2,0,53,24,4.0,13.25
Harshal Patel,Sunrisers Hyderabad,2016,2,0,49,30,5.0,9.8
Harshal Patel,Sunrisers Hyderabad,2018,1,1,32,24,4.0,8.0
Imran Tahir,Chennai Super Kings,2015,1,1,27,24,4.0,6.75
Imran Tahir,Delhi Capitals,2017,1,1,24,24,4.0,6.0
Imran Tahir,Delhi Capitals,2019,3,6,60,56,9.2,6.52
Imran Tahir,Gujarat Lions,2016,1,3,24,24,4.0,6.0
Imran Tahir,Gujarat Lions,2017,2,4,80,48,8.0,10.0
Imran Tahir,Kolkata Knight Riders,2015,2,3,76,48,8.0,9.5
Imran Tahir,Kolkata Knight Riders,2017,2,1,84,48,8.0,10.5
Imran Tahir,Kolkata Knight Riders,2018,1,0,26,24,4.0,6.5
Imran Tahir,Kolkata Knight Riders,2019,2,6,48,48,8.0,6.0
Imran Tahir,Mumbai Indians,2014,1,3,37,24,4.0,9.25
Imran Tahir,Mumbai Indians,2015,2,3,49,39,6.3,7.78
Imran Tahir,Mumbai Indians,2016,2,0,88,48,8.0,11.0
Imran Tahir,Mumbai Indians,2017,2,4,60,48,8.0,7.5
Imran Tahir,Mumbai Indians,2018,2,1,49,28,4.4,11.14
Imran Tahir,Mumbai Indians,2019,4,6,118,90,15.0,7.87
Imran Tahir,Mumbai Indians,2020,1,0,22,18,3.0,7.33
Imran Tahir,Punjab Kings,2014,2,4,54,47,7.5,7.2
Imran Tahir,Punjab Kings,2015,2,3,79,42,7.0,11.29
Imran Tahir,Punjab Kings,2017,1,2,29,24,4.0,7.25
Imran Tahir,Punjab Kings,2018,1,2,34,24,4.0,8.5
Imran Tahir,Punjab Kings,2019,2,0,56,48,8.0,7.0
Imran Tahir,Punjab Kings,2020,1,1,24,24,4.0,6.0
Imran Tahir,Rajasthan Royals,2014,1,2,25,24,4.0,6.25
Imran Tahir,Rajasthan Royals,2015,1,4,28,24,4.0,7.0
Imran Tahir,Rajasthan Royals,2018,1,1,44,24,4.0,11.0
Imran Tahir,Rajasthan Royals,2019,2,2,51,48,8.0,6.38
Imran Tahir,Rising Pune Supergiant,2016,1,2,26,24,4.0,6.5
Imran Tahir,Royal Challengers Bangalore,2014,1,0,48,24,4.0,12.0
Imran Tahir,Royal Challengers Bangalore,2015,1,0,20,12,2.0,10.0
Imran Tahir,Royal Challengers Bangalore,2017,2,4,45,48,8.0,5.62
Imran Tahir,Royal Challengers Bangalore,2018,1,2,35,24,4.0,8.75
Imran Tahir,Royal Challengers Bangalore,2019,2,4,40,48,8.0,5.0
Imran Tahir,Royal Challengers Bangalore,2020,1,0,30,24,4.0,7.5
Imran Tahir,Sunrisers Hyderabad,2014,1,0,7,6,1.0,7.0
Imran Tahir,Sunrisers Hyderabad,2015,1,1,35,24,4.0,8.75
Imran Tahir,Sunrisers Hyderabad,2017,2,2,47,42,7.0,6.71
Imran Tahir,Sunrisers Hyderabad,2019,2,2,58,48,8.0,7.25
Iqbal Abdulla,Chennai Super Kings,2010,1,0,21,15,2.3,9.13
Iqbal Abdulla,Chennai Super Kings,2011,2,2,41,48,8.0,5.12
Iqbal Abdulla,Chennai Super Kings,2012,2,0,27,24,4.0,6.75
Iqbal Abdulla,Chennai Super Kings,2015,2,2,70,42,7.0,10.0
Iqbal Abdulla,Deccan Chargers,2011,2,5,58,48,8.0,7.25
Iqbal Abdulla,Delhi Capitals,2008,1,0,22,18,3.0,7.33
Iqbal Abdulla,Delhi Capitals,2010,1,1,28,24,4.0,7.0
Iqbal Abdulla,Delhi Capitals,2011,1,3,25,24,4.0,6.25
Iqbal Abdulla,Delhi Capitals,2012,2,1,32,30,5.0,6.4
Iqbal Abdulla,Delhi Capitals,2015,1,1,17,24,4.0,4.25
Iqbal Abdulla,Delhi Capitals,2016,1,0,14,12,2.0,7.0
Iqbal Abdulla,Delhi Capitals,2017,1,2,36,18,3.0,12.0
Iqbal Abdulla,Gujarat Lions,2016,2,2,79,48,8.0,9.88
Iqbal Abdulla,Kochi Tuskers Kerala,2011,2,0,39,36,6.0,6.5
Iqbal Abdulla,Kolkata Knight Riders,2014,1,0,17,12,2.0,8.5
Iqbal Abdulla,Kolkata Knight Riders,2016,1,1,22,24,4.0,5.5
Iqbal Abdulla,Mumbai Indians,2011,2,1,49,42,7.0,7.0
Iqbal Abdulla,Mumbai Indians,2012,1,1,23,24,4.0,5.75
Iqbal Abdulla,Mumbai Indians,2013,2,1,65,48,8.0,8.12
Iqbal Abdulla,Mumbai Indians,2015,1,0,35,24,4.0,8.75
Iqbal Abdulla,Mumbai Indians,2016,1,3,40,24,4.0,10.0
Iqbal Abdulla,Pune Warriors India,2011,1,1,12,18,3.0,4.0
Iqbal Abdulla,Pune Warriors India,2012,2,2,46,42,7.0,6.57
Iqbal Abdulla,Pune Warriors India,2013,1,2,26,24,4.0,6.5
Iqbal Abdulla,Punjab Kings,2010,1,0,12,12,2.0,6.0
Iqbal Abdulla,Punjab Kings,2011,1,2,19,24,4.0,4.75
Iqbal Abdulla,Punjab Kings,2016,1,0,26,18,3.0,8.67
Iqbal Abdulla,Punjab Kings,2017,1,0,19,12,2.0,9.5
Iqbal Abdulla,Rajasthan Royals,2011,2,1,32,30,5.0,6.4
Iqbal Abdulla,Rajasthan Royals,2012,1,0,16,12,2.0,8.0
Iqbal Abdulla,Rajasthan Royals,2013,1,1,22,18,3.0,7.33
Iqbal Abdulla,Rajasthan Royals,2015,1,1,28,24,4.0,7.0
Iqbal Abdulla,Rising Pune Supergiant,2016,1,0,22,18,3.0,7.33
Iqbal Abdulla,Royal Challengers Bangalore,2011,2,1,30,30,5.0,6.0
Iqbal Abdulla,Sunrisers Hyderabad,2013,1,3,29,23,3.5,8.29
Iqbal Abdulla,Sunrisers Hyderabad,2016,1,0,10,6,1.0,10.0
Irfan Pathan,Chennai Super Kings,2008,3,3,104,72,12.0,8.67
Irfan Pathan,Chennai Super Kings,2009,2,3,70,48,8.0,8.75
Irfan Pathan,Chennai Super Kings,2010,2,1,66,40,6.4,10.31
Irfan Pathan,Chennai Super Kings,2011,1,1,40,24,4.0,10.0
Irfan Pathan,Chennai Super Kings,2012,2,2,40,36,6.0,6.67
Irfan Pathan,Chennai Super Kings,2013,2,1,54,42,7.0,7.71
Irfan Pathan,Chennai Super Kings,2014,1,0,34,18,3.0,11.33
Irfan Pathan,Deccan Chargers,2008,1,2,30,24,4.0,7.5
Irfan Pathan,Deccan Chargers,2009,2,2,71,42,7.0,10.14
Irfan Pathan,Deccan Chargers,2010,2,2,51,36,6.0,8.5
Irfan Pathan,Deccan Chargers,2011,2,1,46,42,7.0,6.57
Irfan Pathan,Deccan Chargers,2012,2,0,73,48,8.0,9.12
Irfan Pathan,Delhi Capitals,2008,2,2,39,36,6.0,6.5
Irfan Pathan,Delhi Capitals,2009,2,2,31,30,5.0,6.2
Irfan Pathan,Delhi Capitals,2010,2,4,51,45,7.3,6.99
Irfan Pathan,Delhi Capitals,2014,1,0,18,18,3.0,6.0
Irfan Pathan,Delhi Capitals,2016,1,0,17,18,3.0,5.67
Irfan Pathan,Kochi Tuskers Kerala,2011,2,2,65,48,8.0,8.12
Irfan Pathan,Kolkata Knight Riders,2008,2,2,54,46,7.4,7.3
Irfan Pathan,Kolkata Knight Riders,2009,2,0,64,42,7.0,9.14
Irfan Pathan,Kolkata Knight Riders,2010,2,3,78,48,8.0,9.75
Irfan Pathan,Kolkata Knight Riders,2011,1,1,16,24,4.0,4.0
Irfan Pathan,Kolkata Knight Riders,2012,3,1,57,48,8.0,7.12
Irfan Pathan,Kolkata Knight Riders,2013,2,1,31,36,6.0,5.17
Irfan Pathan,Kolkata Knight Riders,2014,1,0,20,18,3.0,6.67
Irfan Pathan,Mumbai Indians,2008,2,2,56,48,8.0,7.0
Irfan Pathan,Mumbai Indians,2009,2,2,34,44,7.2,4.72
Irfan Pathan,Mumbai Indians,2010,2,4,49,42,7.0,7.0
Irfan Pathan,Mumbai Indians,2011,2,1,37,41,6.5,5.69
Irfan Pathan,Mumbai Indians,2012,2,3,58,48,8.0,7.25
Irfan Pathan,Mumbai Indians,2013,2,1,61,48,8.0,7.62
Irfan Pathan,Mumbai Indians,2014,2,2,39,24,4.0,9.75
Irfan Pathan,Mumbai Indians,2017,1,0,26,12,2.0,13.0
Irfan Pathan,Pune Warriors India,2011,1,0,28,18,3.0,9.33
Irfan Pathan,Pune Warriors India,2012,2,1,48,48,8.0,6.0
Irfan Pathan,Pune Warriors India,2013,2,3,63,48,8.0,7.88
Irfan Pathan,Punjab Kings,2011,2,4,54,42,7.0,7.71
Irfan Pathan,Punjab Kings,2012,2,0,49,48,8.0,6.12
Irfan Pathan,Punjab Kings,2013,2,2,54,36,6.0,9.0
Irfan Pathan,Punjab Kings,2014,2,0,33,18,3.0,11.0
Irfan Pathan,Punjab Kings,2016,2,0,44,30,5.0,8.8
Irfan Pathan,Rajasthan Royals,2008,2,2,31,48,8.0,3.88
Irfan Pathan,Rajasthan Royals,2009,2,3,66,48,8.0,8.25
Irfan Pathan,Rajasthan Royals,2010,2,0,62,30,5.0,12.4
Irfan Pathan,Rajasthan Royals,2011,1,1,32,18,3.0,10.67
Irfan Pathan,Rajasthan Royals,2012,2,1,49,36,6.0,8.17
Irfan Pathan,Rajasthan Royals,2013,1,0,31,24,4.0,7.75
Irfan Pathan,Rajasthan Royals,2014,1,1,8,11,1.5,5.33
Irfan Pathan,Royal Challengers Bangalore,2008,2,2,36,44,7.2,5.0
Irfan Pathan,Royal Challengers Bangalore,2009,2,5,54,48,8.0,6.75
Irfan Pathan,Royal Challengers Bangalore,2010,2,1,69,37,6.1,11.31
Irfan Pathan,Royal Challengers Bangalore,2011,1,0,26,18,3.0,8.67
Irfan Pathan,Royal Challengers Bangalore,2012,2,0,91,48,8.0,11.38
Irfan Pathan,Royal Challengers Bangalore,2013,2,1,63,48,8.0,7.88
Irfan Pathan,Royal Challengers Bangalore,2014,2,1,53,35,5.5,9.64
Irfan Pathan,Sunrisers Hyderabad,2013,2,1,25,26,4.2,5.95
Ish Sodhi,Chennai Super Kings,2018,1,1,29,24,4.0,7.25
Ish Sodhi,Delhi Capitals,2019,1,3,26,19,3.1,8.39
Ish Sodhi,Kolkata Knight Riders,2018,2,1,36,48,8.0,4.5
Ish Sodhi,Punjab Kings,2018,1,1,14,24,4.0,3.5
Ish Sodhi,Punjab Kings,2019,1,1,41,24,4.0,10.25
Ish Sodhi,Royal Challengers Bangalore,2018,1,1,31,24,4.0,7.75
Ish Sodhi,Sunrisers Hyderabad,2018,1,1,25,18,3.0,8.33
Ishan Malhotra,Delhi Capitals,2011,1,0,23,6,1.0,23.0
Ishant Sharma,Chennai Super Kings,2008,2,0,42,30,5.0,8.4
Ishant Sharma,Chennai Super Kings,2010,1,1,38,24,4.0,9.5
Ishant Sharma,Chennai Super Kings,2011,1,0,41,24,4.0,10.25
Ishant Sharma,Chennai Super Kings,2013,2,1,100,48,8.0,12.5
Ishant Sharma,Chennai Super Kings,2014,1,2,37,24,4.0,9.25
Ishant Sharma,Chennai Super Kings,2015,1,0,46,18,3.0,15.33
Ishant Sharma,Chennai Super Kings,2019,2,2,52,42,7.0,7.43
Ishant Sharma,Deccan Chargers,2008,2,1,36,36,6.0,6.0
Ishant Sharma,Deccan Chargers,2009,2,0,36,42,7.0,5.14
Ishant Sharma,Deccan Chargers,2010,1,1,31,24,4.0,7.75
Ishant Sharma,Delhi Capitals,2008,1,0,18,18,3.0,6.0
Ishant Sharma,Delhi Capitals,2009,2,2,66,48,8.0,8.25
Ishant Sharma,Delhi Capitals,2010,1,1,17,6,1.0,17.0
Ishant Sharma,Delhi Capitals,2011,1,2,16,24,4.0,4.0
Ishant Sharma,Delhi Capitals,2013,2,3,46,42,7.0,6.57
Ishant Sharma,Delhi Capitals,2015,1,0,39,24,4.0,9.75
Ishant Sharma,Gujarat Lions,2016,1,1,39,24,4.0,9.75
Ishant Sharma,Kochi Tuskers Kerala,2011,1,5,12,18,3.0,4.0
Ishant Sharma,Kolkata Knight Riders,2011,2,0,64,42,7.0,9.14
Ishant Sharma,Kolkata Knight Riders,2013,1,0,33,24,4.0,8.25
Ishant Sharma,Kolkata Knight Riders,2017,1,0,16,12,2.0,8.0
Ishant Sharma,Kolkata Knight Riders,2019,1,1,21,24,4.0,5.25
Ishant Sharma,Mumbai Indians,2008,2,2,62,37,6.1,10.16
Ishant Sharma,Mumbai Indians,2009,2,2,53,48,8.0,6.62
Ishant Sharma,Mumbai Indians,2010,1,2,44,24,4.0,11.0
Ishant Sharma,Mumbai Indians,2011,2,3,69,48,8.0,8.62
Ishant Sharma,Mumbai Indians,2013,2,3,47,48,8.0,5.88
Ishant Sharma,Mumbai Indians,2016,1,2,36,24,4.0,9.0
Ishant Sharma,Mumbai Indians,2017,2,0,87,42,7.0,12.43
Ishant Sharma,Mumbai Indians,2019,2,2,51,42,7.0,7.29
Ishant Sharma,Pune Warriors India,2011,2,0,44,36,6.0,7.33
Ishant Sharma,Pune Warriors India,2013,2,1,44,48,8.0,5.5
Ishant Sharma,Punjab Kings,2008,2,0,90,48,8.0,11.25
Ishant Sharma,Punjab Kings,2009,2,3,51,48,8.0,6.38
Ishant Sharma,Punjab Kings,2011,1,0,23,24,4.0,5.75
Ishant Sharma,Punjab Kings,2013,2,2,51,42,7.0,7.29
Ishant Sharma,Punjab Kings,2015,1,0,49,24,4.0,12.25
Ishant Sharma,Punjab Kings,2016,1,0,26,18,3.0,8.67
Ishant Sharma,Punjab Kings,2019,1,0,29,24,4.0,7.25
Ishant Sharma,Rajasthan Royals,2008,2,2,49,42,7.0,7.0
Ishant Sharma,Rajasthan Royals,2009,1,2,36,24,4.0,9.0
Ishant Sharma,Rajasthan Royals,2010,1,2,33,24,4.0,8.25
Ishant Sharma,Rajasthan Royals,2011,1,0,24,24,4.0,6.0
Ishant Sharma,Rajasthan Royals,2013,3,1,88,60,10.0,8.8
Ishant Sharma,Rajasthan Royals,2014,1,1,29,24,4.0,7.25
Ishant Sharma,Rajasthan Royals,2015,1,1,25,18,3.0,8.33
Ishant Sharma,Rajasthan Royals,2019,2,4,67,48,8.0,8.38
Ishant Sharma,Rising Pune Supergiant,2017,1,0,12,6,1.0,12.0
Ishant Sharma,Royal Challengers Bangalore,2008,2,2,32,42,7.0,4.57
Ishant Sharma,Royal Challengers Bangalore,2009,2,2,55,48,8.0,6.88
Ishant Sharma,Royal Challengers Bangalore,2010,2,0,73,48,8.0,9.12
Ishant Sharma,Royal Challengers Bangalore,2011,1,1,21,24,4.0,5.25
Ishant Sharma,Royal Challengers Bangalore,2013,2,4,57,46,7.4,7.7
Ishant Sharma,Royal Challengers Bangalore,2014,1,0,35,18,3.0,11.67
Ishant Sharma,Royal Challengers Bangalore,2016,1,0,47,24,4.0,11.75
Ishant Sharma,Royal Challengers Bangalore,2019,2,1,71,48,8.0,8.88
Ishant Sharma,Sunrisers Hyderabad,2017,2,0,64,48,8.0,8.0
Ishant Sharma,Sunrisers Hyderabad,2019,3,3,58,48,8.0,7.25
Ishant Sharma,Sunrisers Hyderabad,2020,1,0,26,18,3.0,8.67
Ishwar Pandey,Delhi Capitals,2014,2,2,49,42,7.0,7.0
Ishwar Pandey,Delhi Capitals,2015,2,3,57,48,8.0,7.12
