batsman,Bowling Team,Innings,batsman_runs,valid_ball,Strike Rate,not outs,Average
Stephen Fleming,Royal Challengers Bangalore,1,45,39,115.38,0,45.0
Steve Smith,Chennai Super Kings,12,317,271,116.97,3,35.22
Steve Smith,Deccan Chargers,2,73,38,192.11,1,73.0
Steve Smith,Delhi Capitals,7,174,115,151.3,2,34.8
Steve Smith,Gujarat Lions,4,153,89,171.91,0,38.25
Steve Smith,Kolkata Knight Riders,11,223,189,117.99,3,27.88
Steve Smith,Mumbai Indians,13,429,328,130.79,3,42.9
Steve Smith,Punjab Kings,12,284,205,138.54,4,35.5
Steve Smith,Rajasthan Royals,2,55,52,105.77,1,55.0
Steve Smith,Royal Challengers Bangalore,13,352,264,133.33,2,32.0
Steve Smith,Sunrisers Hyderabad,10,273,241,113.28,1,30.33
Stuart Binny,Chennai Super Kings,8,173,123,140.65,3,34.6
Stuart Binny,Deccan Chargers,1,7,8,87.5,0,7.0
Stuart Binny,Delhi Capitals,7,92,67,137.31,1,15.33
Stuart Binny,Gujarat Lions,1,21,15,140.0,0,21.0
Stuart Binny,Kolkata Knight Riders,10,72,62,116.13,1,8.0
Stuart Binny,Mumbai Indians,9,123,92,133.7,4,24.6
Stuart Binny,Pune Warriors India,3,39,22,177.27,2,39.0
Stuart Binny,Punjab Kings,10,136,105,129.52,3,19.43
Stuart Binny,Rising Pune Supergiant,2,19,15,126.67,0,9.5
Stuart Binny,Royal Challengers Bangalore,6,80,64,125.0,2,20.0
Stuart Binny,Sunrisers Hyderabad,9,118,109,108.26,4,23.6
Subramaniam Badrinath,Deccan Chargers,8,87,95,91.58,2,14.5
Subramaniam Badrinath,Delhi Capitals,8,185,153,120.92,2,30.83
Subramaniam Badrinath,Kochi Tuskers Kerala,2,32,27,118.52,0,16.0
Subramaniam Badrinath,Kolkata Knight Riders,3,103,87,118.39,1,51.5
Subramaniam Badrinath,Mumbai Indians,14,321,262,122.52,5,35.67
Subramaniam Badrinath,Pune Warriors India,5,199,156,127.56,2,66.33
Subramaniam Badrinath,Punjab Kings,8,245,183,133.88,2,40.83
Subramaniam Badrinath,Rajasthan Royals,8,154,136,113.24,3,30.8
Subramaniam Badrinath,Royal Challengers Bangalore,9,115,109,105.5,1,14.38
Sudeep Tyagi,Deccan Chargers,1,3,4,75.0,1,3.0
Sumit Narwal,Chennai Super Kings,1,2,2,100.0,1,2.0
Sumit Narwal,Delhi Capitals,2,35,24,145.83,0,17.5
Sumit Narwal,Royal Challengers Bangalore,1,0,1,0.0,0,0.0
Sunil Joshi,Kolkata Knight Riders,1,3,6,50.0,0,3.0
Sunil Joshi,Rajasthan Royals,1,3,8,37.5,0,3.0
Sunil Narine,Chennai Super Kings,8,90,59,152.54,1,12.86
Sunil Narine,Delhi Capitals,7,103,58,177.59,1,17.17
Sunil Narine,Gujarat Lions,2,44,24,183.33,1,44.0
Sunil Narine,Mumbai Indians,8,41,44,93.18,1,5.86
Sunil Narine,Punjab Kings,10,170,96,177.08,3,24.29
Sunil Narine,Rajasthan Royals,10,136,87,156.32,2,17.0
Sunil Narine,Rising Pune Supergiant,2,16,17,94.12,0,8.0
Sunil Narine,Royal Challengers Bangalore,7,194,96,202.08,1,32.33
Sunil Narine,Sunrisers Hyderabad,9,98,61,160.66,1,12.25
Sunny Gupta,Chennai Super Kings,1,0,1,0.0,0,0.0
Sunny Singh,Chennai Super Kings,1,20,11,181.82,0,20.0
Sunny Singh,Delhi Capitals,1,2,4,50.0,0,2.0
Sunny Singh,Pune Warriors India,1,12,6,200.0,0,12.0
Sunny Singh,Rajasthan Royals,1,5,5,100.0,1,5.0
Sunny Singh,Royal Challengers Bangalore,1,4,5,80.0,0,4.0
Sunny Sohal,Chennai Super Kings,3,61,41,148.78,0,20.33
Sunny Sohal,Deccan Chargers,2,39,29,134.48,0,19.5
Sunny Sohal,Delhi Capitals,2,65,53,122.64,0,32.5
Sunny Sohal,Kochi Tuskers Kerala,1,1,4,25.0,0,1.0
Sunny Sohal,Kolkata Knight Riders,2,51,37,137.84,0,25.5
Sunny Sohal,Mumbai Indians,4,68,50,136.0,0,17.0
Sunny Sohal,Pune Warriors India,2,34,29,117.24,0,17.0
Sunny Sohal,Punjab Kings,1,7,5,140.0,0,7.0
Sunny Sohal,Rajasthan Royals,2,4,5,80.0,0,2.0
Sunny Sohal,Royal Challengers Bangalore,1,38,36,105.56,0,38.0
Suraj Randiv,Mumbai Indians,1,2,4,50.0,0,2.0
Suresh Raina,Deccan Chargers,10,310,222,139.64,1,34.44
Suresh Raina,Delhi Capitals,25,607,454,133.7,3,27.59
Suresh Raina,Kochi Tuskers Kerala,2,69,53,130.19,0,34.5
Suresh Raina,Kolkata Knight Riders,22,818,600,136.33,4,45.44
Suresh Raina,Mumbai Indians,32,818,576,142.01,6,31.46
Suresh Raina,Pune Warriors India,6,127,109,116.51,2,31.75
Suresh Raina,Punjab Kings,23,814,534,152.43,4,42.84
Suresh Raina,Rajasthan Royals,21,609,446,136.55,0,29.0
Suresh Raina,Rising Pune Supergiant,4,101,82,123.17,1,33.67
Suresh Raina,Royal Challengers Bangalore,27,661,512,129.1,5,30.05
Suresh Raina,Sunrisers Hyderabad,17,434,307,141.37,2,28.93
Suryakumar Yadav,Chennai Super Kings,9,275,235,117.02,1,34.38
Suryakumar Yadav,Delhi Capitals,13,295,215,137.21,3,29.5
Suryakumar Yadav,Gujarat Lions,3,22,27,81.48,0,7.33
Suryakumar Yadav,Kolkata Knight Riders,6,224,149,150.34,1,44.8
Suryakumar Yadav,Mumbai Indians,7,143,88,162.5,3,35.75
Suryakumar Yadav,Pune Warriors India,1,0,4,0.0,0,0.0
Suryakumar Yadav,Punjab Kings,12,228,154,148.05,1,20.73
Suryakumar Yadav,Rajasthan Royals,9,319,229,139.3,2,45.57
Suryakumar Yadav,Rising Pune Supergiant,2,90,65,138.46,1,90.0
Suryakumar Yadav,Royal Challengers Bangalore,12,220,160,137.5,4,27.5
Suryakumar Yadav,Sunrisers Hyderabad,12,208,172,120.93,3,23.11
Swapnil Asnodkar,Chennai Super Kings,5,137,108,126.85,0,27.4
Swapnil Asnodkar,Deccan Chargers,2,44,40,110.0,0,22.0
Swapnil Asnodkar,Delhi Capitals,3,55,33,166.67,0,18.33
Swapnil Asnodkar,Kolkata Knight Riders,3,69,43,160.47,0,23.0
Swapnil Asnodkar,Mumbai Indians,2,56,54,103.7,0,28.0
Swapnil Asnodkar,Punjab Kings,2,12,13,92.31,0,6.0
Swapnil Asnodkar,Royal Challengers Bangalore,2,50,46,108.7,0,25.0
Swapnil Singh,Kolkata Knight Riders,2,2,3,66.67,0,1.0
Swapnil Singh,Rising Pune Supergiant,1,10,17,58.82,0,10.0
Syed Mohammad,Chennai Super Kings,1,2,2,100.0,1,2.0
Syed Mohammad,Deccan Chargers,1,4,1,400.0,1,4.0
Syed Mohammad,Delhi Capitals,2,14,12,116.67,1,14.0
Syed Mohammad,Mumbai Indians,1,9,11,81.82,0,9.0
T Natarajan,Chennai Super Kings,1,0,1,0.0,1,0.0
T Natarajan,Royal Challengers Bangalore,1,3,4,75.0,1,3.0
Tanmay Srivastava,Delhi Capitals,1,7,9,77.78,0,7.0
Tanmay Srivastava,Kolkata Knight Riders,1,1,1,100.0,1,1.0
Tanmay Srivastava,Royal Challengers Bangalore,1,0,1,0.0,1,0.0
Taruwar Kohli,Chennai Super Kings,1,3,3,100.0,0,3.0
Taruwar Kohli,Delhi Capitals,1,7,12,58.33,0,7.0
Taruwar Kohli,Kolkata Knight Riders,1,1,4,25.0,0,1.0
Tatenda Taibu,Deccan Chargers,1,9,5,180.0,0,9.0
Tatenda Taibu,Delhi Capitals,1,7,9,77.78,0,7.0
Tatenda Taibu,Royal Challengers Bangalore,1,15,12,125.0,0,15.0
Thalaivan Sargunam,Chennai Super Kings,1,10,17,58.82,0,10.0
Thilan Thushara,Deccan Chargers,1,8,8,100.0,0,8.0
Thilan Thushara,Mumbai Indians,1,1,2,50.0,1,1.0
Thilan Thushara,Punjab Kings,1,1,5,20.0,0,1.0
Thilan Thushara,Rajasthan Royals,1,2,3,66.67,1,2.0
Thisara Perera,Chennai Super Kings,1,23,13,176.92,0,23.0
Thisara Perera,Deccan Chargers,1,22,23,95.65,0,22.0
Thisara Perera,Delhi Capitals,3,19,14,135.71,1,9.5
Thisara Perera,Gujarat Lions,1,3,2,150.0,1,3.0
Thisara Perera,Kolkata Knight Riders,5,74,63,117.46,0,14.8
Thisara Perera,Mumbai Indians,2,14,14,100.0,2,14.0
Thisara Perera,Pune Warriors India,3,32,26,123.08,0,10.67
Thisara Perera,Punjab Kings,5,90,58,155.17,3,45.0
Thisara Perera,Rajasthan Royals,4,33,27,122.22,1,11.0
Thisara Perera,Royal Challengers Bangalore,4,95,52,182.69,0,23.75
Thisara Perera,Sunrisers Hyderabad,1,17,13,130.77,0,17.0
Tillakaratne Dilshan,Chennai Super Kings,5,79,67,117.91,0,15.8
Tillakaratne Dilshan,Deccan Chargers,8,263,205,128.29,1,37.57
Tillakaratne Dilshan,Delhi Capitals,2,10,8,125.0,0,5.0
Tillakaratne Dilshan,Kochi Tuskers Kerala,2,53,35,151.43,1,53.0
Tillakaratne Dilshan,Kolkata Knight Riders,5,107,89,120.22,1,26.75
Tillakaratne Dilshan,Mumbai Indians,9,196,197,99.49,1,24.5
Tillakaratne Dilshan,Pune Warriors India,4,105,106,99.06,0,26.25
Tillakaratne Dilshan,Punjab Kings,4,34,36,94.44,0,8.5
Tillakaratne Dilshan,Rajasthan Royals,8,230,192,119.79,2,38.33
Tillakaratne Dilshan,Royal Challengers Bangalore,2,71,57,124.56,1,71.0
Tillakaratne Dilshan,Sunrisers Hyderabad,1,5,9,55.56,0,5.0
Tim Paine,Mumbai Indians,1,2,9,22.22,0,2.0
Tim Paine,Royal Challengers Bangalore,1,8,17,47.06,0,8.0
Tim Southee,Chennai Super Kings,2,40,30,133.33,1,40.0
Tim Southee,Delhi Capitals,3,17,14,121.43,3,17.0
Tim Southee,Gujarat Lions,1,25,10,250.0,0,25.0
Tim Southee,Mumbai Indians,2,7,7,100.0,0,3.5
Tim Southee,Punjab Kings,1,1,3,33.33,0,1.0
Tim Southee,Rajasthan Royals,1,14,17,82.35,0,14.0
Tim Southee,Rising Pune Supergiant,1,7,3,233.33,0,7.0
Tim Southee,Sunrisers Hyderabad,2,4,5,80.0,1,4.0
Tirumalasetti Suman,Chennai Super Kings,5,86,70,122.86,1,21.5
Tirumalasetti Suman,Deccan Chargers,2,19,22,86.36,0,9.5
Tirumalasetti Suman,Delhi Capitals,5,84,71,118.31,2,28.0
Tirumalasetti Suman,Kolkata Knight Riders,5,59,54,109.26,2,19.67
Tirumalasetti Suman,Mumbai Indians,4,69,61,113.11,0,17.25
Tirumalasetti Suman,Pune Warriors India,1,36,16,225.0,0,36.0
Tirumalasetti Suman,Punjab Kings,6,106,90,117.78,0,17.67
Tirumalasetti Suman,Rajasthan Royals,5,94,80,117.5,1,23.5
Tirumalasetti Suman,Royal Challengers Bangalore,5,111,95,116.84,1,27.75
Tirumalasetti Suman,Sunrisers Hyderabad,1,12,14,85.71,0,12.0
Tom Banton,Royal Challengers Bangalore,2,18,20,90.0,0,9.0
Tom Curran,Chennai Super Kings,2,12,14,85.71,2,12.0
Tom Curran,Delhi Capitals,1,2,3,66.67,0,2.0
Tom Curran,Kolkata Knight Riders,1,54,36,150.0,1,54.0
Tom Curran,Mumbai Indians,2,33,33,100.0,0,16.5
Tom Curran,Punjab Kings,2,5,4,125.0,1,5.0
Travis Birt,Deccan Chargers,1,4,8,50.0,0,4.0
Travis Birt,Kochi Tuskers Kerala,2,47,27,174.07,0,23.5
Travis Birt,Kolkata Knight Riders,1,8,11,72.73,0,8.0
Travis Birt,Punjab Kings,1,16,11,145.45,0,16.0
Travis Head,Delhi Capitals,1,2,2,100.0,0,2.0
Travis Head,Gujarat Lions,2,30,17,176.47,1,30.0
Travis Head,Kolkata Knight Riders,1,75,47,159.57,1,75.0
Travis Head,Mumbai Indians,2,49,39,125.64,0,24.5
Travis Head,Punjab Kings,1,11,7,157.14,0,11.0
Travis Head,Rising Pune Supergiant,2,8,13,61.54,1,8.0
Travis Head,Sunrisers Hyderabad,1,30,22,136.36,0,30.0
Trent Boult,Chennai Super Kings,3,7,5,140.0,1,3.5
Trent Boult,Kolkata Knight Riders,1,0,2,0.0,0,0.0
Trent Boult,Mumbai Indians,1,5,8,62.5,1,5.0
Tushar Deshpande,Kolkata Knight Riders,1,1,3,33.33,0,1.0
Tushar Deshpande,Sunrisers Hyderabad,1,20,9,222.22,1,20.0
Tymal Mills,Delhi Capitals,1,0,3,0.0,0,0.0
Tymal Mills,Kolkata Knight Riders,1,2,5,40.0,0,2.0
Tymal Mills,Sunrisers Hyderabad,1,6,3,200.0,0,6.0
Tyron Henderson,Kolkata Knight Riders,1,0,1,0.0,0,0.0
Tyron Henderson,Royal Challengers Bangalore,1,11,14,78.57,0,11.0
Uday Kaul,Chennai Super Kings,1,0,1,0.0,1,0.0
Udit Birla,Kolkata Knight Riders,1,7,14,50.0,0,7.0
Umar Gul,Punjab Kings,1,24,11,218.18,0,24.0
Umar Gul,Rajasthan Royals,2,9,6,150.0,0,4.5
Umar Gul,Royal Challengers Bangalore,1,6,2,300.0,1,6.0
Umesh Yadav,Chennai Super Kings,8,17,36,47.22,2,2.83
Umesh Yadav,Deccan Chargers,1,3,4,75.0,1,3.0
Umesh Yadav,Delhi Capitals,1,2,3,66.67,0,2.0
Umesh Yadav,Kolkata Knight Riders,2,2,2,100.0,2,2.0
Umesh Yadav,Mumbai Indians,8,18,22,81.82,6,9.0
Umesh Yadav,Pune Warriors India,1,8,9,88.89,1,8.0
Umesh Yadav,Punjab Kings,2,2,6,33.33,0,1.0
Umesh Yadav,Rajasthan Royals,2,24,12,200.0,1,24.0
Umesh Yadav,Rising Pune Supergiant,2,9,4,225.0,2,9.0
Umesh Yadav,Royal Challengers Bangalore,3,6,7,85.71,2,6.0
Umesh Yadav,Sunrisers Hyderabad,4,31,23,134.78,3,31.0
Unmukt Chand,Chennai Super Kings,1,16,12,133.33,0,16.0
Unmukt Chand,Delhi Capitals,1,14,11,127.27,0,14.0
Unmukt Chand,Kolkata Knight Riders,2,37,40,92.5,0,18.5
Unmukt Chand,Mumbai Indians,3,2,12,16.67,0,0.67
Unmukt Chand,Pune Warriors India,1,17,19,89.47,0,17.0
Unmukt Chand,Punjab Kings,3,25,36,69.44,0,8.33
Unmukt Chand,Rajasthan Royals,4,50,60,83.33,0,12.5
Unmukt Chand,Royal Challengers Bangalore,3,117,82,142.68,0,39.0
Unmukt Chand,Sunrisers Hyderabad,2,22,27,81.48,0,11.0
Usman Khawaja,Delhi Capitals,2,49,40,122.5,0,24.5
Usman Khawaja,Kolkata Knight Riders,1,21,16,131.25,0,21.0
Usman Khawaja,Punjab Kings,1,30,29,103.45,0,30.0
Usman Khawaja,Royal Challengers Bangalore,1,16,6,266.67,0,16.0
Usman Khawaja,Sunrisers Hyderabad,1,11,8,137.5,0,11.0
VVS Laxman,Chennai Super Kings,3,16,23,69.57,0,5.33
VVS Laxman,Delhi Capitals,1,2,6,33.33,0,2.0
VVS Laxman,Kolkata Knight Riders,3,32,30,106.67,0,10.67
VVS Laxman,Mumbai Indians,3,41,34,120.59,1,20.5
VVS Laxman,Pune Warriors India,1,0,3,0.0,0,0.0
VVS Laxman,Punjab Kings,2,58,41,141.46,0,29.0
VVS Laxman,Rajasthan Royals,4,40,47,85.11,0,10.0
VVS Laxman,Royal Challengers Bangalore,3,93,82,113.41,0,31.0
Varun Aaron,Chennai Super Kings,1,0,2,0.0,0,0.0
Varun Aaron,Delhi Capitals,2,4,9,44.44,1,4.0
Varun Aaron,Kolkata Knight Riders,3,5,14,35.71,1,2.5
Varun Aaron,Mumbai Indians,1,7,8,87.5,1,7.0
Varun Aaron,Punjab Kings,3,28,30,93.33,3,28.0
Varun Aaron,Royal Challengers Bangalore,1,0,5,0.0,1,0.0
Varun Aaron,Sunrisers Hyderabad,1,6,3,200.0,0,6.0
Varun Chakravarthy,Chennai Super Kings,1,1,1,100.0,0,1.0
Varun Chakravarthy,Punjab Kings,1,2,4,50.0,0,2.0
Varun Chakravarthy,Royal Challengers Bangalore,1,7,10,70.0,1,7.0
Veer Pratap Singh,Mumbai Indians,1,0,1,0.0,0,0.0
Venugopal Rao,Chennai Super Kings,7,132,118,111.86,1,22.0
Venugopal Rao,Deccan Chargers,2,24,34,70.59,0,12.0
Venugopal Rao,Delhi Capitals,5,66,60,110.0,0,13.2
Venugopal Rao,Kochi Tuskers Kerala,2,41,46,89.13,0,20.5
Venugopal Rao,Kolkata Knight Riders,6,151,127,118.9,2,37.75
Venugopal Rao,Mumbai Indians,6,164,126,130.16,0,27.33
Venugopal Rao,Pune Warriors India,2,31,21,147.62,1,31.0
Venugopal Rao,Punjab Kings,9,118,96,122.92,2,16.86
Venugopal Rao,Rajasthan Royals,5,113,75,150.67,2,37.67
Venugopal Rao,Royal Challengers Bangalore,8,145,129,112.4,0,18.12
Vidyut Sivaramakrishnan,Delhi Capitals,2,94,60,156.67,0,47.0
Vidyut Sivaramakrishnan,Mumbai Indians,1,16,11,145.45,0,16.0
Vidyut Sivaramakrishnan,Punjab Kings,2,14,11,127.27,0,7.0
Vidyut Sivaramakrishnan,Rajasthan Royals,2,21,24,87.5,0,10.5
Vidyut Sivaramakrishnan,Royal Challengers Bangalore,1,0,3,0.0,0,0.0
Vijay Shankar,Chennai Super Kings,5,135,97,139.18,2,45.0
Vijay Shankar,Delhi Capitals,3,42,34,123.53,0,14.0
Vijay Shankar,Gujarat Lions,1,63,44,143.18,1,63.0
Vijay Shankar,Kolkata Knight Riders,4,71,55,129.09,1,23.67
Vijay Shankar,Mumbai Indians,5,76,71,107.04,2,25.33
Vijay Shankar,Punjab Kings,4,72,71,101.41,1,24.0
Vijay Shankar,Rajasthan Royals,5,115,85,135.29,1,28.75
Vijay Shankar,Royal Challengers Bangalore,4,57,41,139.02,1,19.0
Vijay Shankar,Sunrisers Hyderabad,1,23,13,176.92,1,23.0
Vijay Zol,Chennai Super Kings,1,13,12,108.33,0,13.0
Vijay Zol,Rajasthan Royals,1,16,14,114.29,0,16.0
Vikram Singh,Chennai Super Kings,1,0,1,0.0,0,0.0
Vikram Singh,Mumbai Indians,1,4,2,200.0,0,4.0
Vikramjeet Malik,Mumbai Indians,1,6,5,120.0,0,6.0
Vikramjeet Malik,Punjab Kings,1,1,2,50.0,1,1.0
Vikrant Yeligati,Punjab Kings,1,2,2,100.0,0,2.0
Vinay Kumar,Chennai Super Kings,5,17,11,154.55,3,8.5
Vinay Kumar,Deccan Chargers,4,37,41,90.24,0,9.25
Vinay Kumar,Delhi Capitals,5,35,31,112.9,1,8.75
Vinay Kumar,Gujarat Lions,1,1,1,100.0,1,1.0
Vinay Kumar,Kolkata Knight Riders,4,50,50,100.0,2,25.0
Vinay Kumar,Mumbai Indians,6,75,71,105.63,2,18.75
Vinay Kumar,Pune Warriors India,1,1,1,100.0,0,1.0
Vinay Kumar,Punjab Kings,3,3,5,60.0,2,3.0
Vinay Kumar,Rajasthan Royals,7,59,36,163.89,3,14.75
Vinay Kumar,Rising Pune Supergiant,1,12,11,109.09,0,12.0
Vinay Kumar,Royal Challengers Bangalore,3,13,11,118.18,1,6.5
Vinay Kumar,Sunrisers Hyderabad,2,7,5,140.0,0,3.5
Virat Kohli,Chennai Super Kings,25,887,693,127.99,4,42.24
Virat Kohli,Deccan Chargers,10,306,221,138.46,1,34.0
Virat Kohli,Delhi Capitals,22,897,655,136.95,7,59.8
Virat Kohli,Gujarat Lions,5,283,183,154.64,1,70.75
Virat Kohli,Kochi Tuskers Kerala,2,50,51,98.04,1,50.0
Virat Kohli,Kolkata Knight Riders,23,725,556,130.4,5,40.28
Virat Kohli,Mumbai Indians,26,637,503,126.64,3,27.7
Virat Kohli,Pune Warriors India,5,128,100,128.0,0,25.6
Virat Kohli,Punjab Kings,25,681,521,130.71,2,29.61
Virat Kohli,Rajasthan Royals,21,482,429,112.35,3,26.78
Virat Kohli,Rising Pune Supergiant,4,271,187,144.92,1,90.33
Virat Kohli,Sunrisers Hyderabad,16,531,381,139.37,2,37.93
Virender Sehwag,Chennai Super Kings,14,405,241,168.05,0,28.93
Virender Sehwag,Deccan Chargers,11,317,174,182.18,1,31.7
Virender Sehwag,Delhi Capitals,4,80,72,111.11,0,20.0
Virender Sehwag,Kochi Tuskers Kerala,2,95,56,169.64,0,47.5
Virender Sehwag,Kolkata Knight Riders,13,305,214,142.52,0,23.46
Virender Sehwag,Mumbai Indians,14,431,273,157.88,1,33.15
Virender Sehwag,Pune Warriors India,5,220,139,158.27,1,55.0
Virender Sehwag,Punjab Kings,10,250,150,166.67,2,31.25
Virender Sehwag,Rajasthan Royals,15,316,197,160.41,0,21.07
Virender Sehwag,Royal Challengers Bangalore,12,255,172,148.26,0,21.25
Virender Sehwag,Sunrisers Hyderabad,4,54,51,105.88,0,13.5
Vishnu Vinod,Delhi Capitals,2,12,14,85.71,0,6.0
Vishnu Vinod,Punjab Kings,1,7,12,58.33,0,7.0
Washington Sundar,Chennai Super Kings,3,28,16,175.0,2,28.0
Washington Sundar,Delhi Capitals,4,23,17,135.29,2,11.5
Washington Sundar,Kolkata Knight Riders,1,1,3,33.33,1,1.0
Washington Sundar,Mumbai Indians,5,20,20,100.0,2,6.67
Washington Sundar,Punjab Kings,3,52,45,115.56,1,26.0
Washington Sundar,Rajasthan Royals,1,35,19,184.21,0,35.0
Washington Sundar,Sunrisers Hyderabad,4,27,28,96.43,1,9.0
Wasim Jaffer,Chennai Super Kings,1,50,33,151.52,0,50.0
Wasim Jaffer,Deccan Chargers,2,49,42,116.67,0,24.5
Wasim Jaffer,Delhi Capitals,1,10,9,111.11,0,10.0
Wasim Jaffer,Kolkata Knight Riders,1,6,16,37.5,0,6.0
Wasim Jaffer,Mumbai Indians,1,7,8,87.5,0,7.0
Wasim Jaffer,Punjab Kings,1,0,4,0.0,0,0.0
Wasim Jaffer,Rajasthan Royals,1,8,9,88.89,0,8.0
Wayne Parnell,Deccan Chargers,1,16,16,100.0,0,16.0
Wayne Parnell,Delhi Capitals,1,10,9,111.11,1,10.0
Wayne Parnell,Kochi Tuskers Kerala,1,1,5,20.0,0,1.0
Wayne Parnell,Kolkata Knight Riders,4,10,15,66.67,1,3.33
Wayne Parnell,Mumbai Indians,3,22,26,84.62,0,7.33
Wayne Parnell,Punjab Kings,1,2,2,100.0,0,2.0
Wayne Parnell,Rajasthan Royals,1,2,2,100.0,1,2.0
Wilkin Mota,Chennai Super Kings,2,30,36,83.33,0,15.0
Wilkin Mota,Deccan Chargers,2,15,23,65.22,0,7.5
Wilkin Mota,Mumbai Indians,2,9,13,69.23,0,4.5
Wilkin Mota,Rajasthan Royals,2,2,3,66.67,2,2.0
Wriddhiman Saha,Chennai Super Kings,9,131,97,135.05,3,21.83
Wriddhiman Saha,Deccan Chargers,3,27,24,112.5,1,13.5
Wriddhiman Saha,Delhi Capitals,12,238,173,137.57,3,26.44
Wriddhiman Saha,Gujarat Lions,3,63,49,128.57,0,21.0
Wriddhiman Saha,Kochi Tuskers Kerala,1,46,33,139.39,1,46.0
Wriddhiman Saha,Kolkata Knight Riders,14,450,321,140.19,1,34.62
Wriddhiman Saha,Mumbai Indians,12,348,268,129.85,4,43.5
Wriddhiman Saha,Pune Warriors India,1,13,15,86.67,0,13.0
Wriddhiman Saha,Punjab Kings,7,136,108,125.93,1,22.67
Wriddhiman Saha,Rajasthan Royals,10,89,62,143.55,3,12.71
Wriddhiman Saha,Rising Pune Supergiant,4,34,34,100.0,1,11.33
Wriddhiman Saha,Royal Challengers Bangalore,15,274,216,126.85,2,21.08
Wriddhiman Saha,Sunrisers Hyderabad,6,130,98,132.65,0,21.67
Yashasvi Jaiswal,Chennai Super Kings,1,6,6,100.0,0,6.0
Yashasvi Jaiswal,Delhi Capitals,1,34,36,94.44,0,34.0
Yashasvi Jaiswal,Mumbai Indians,1,0,2,0.0,0,0.0
Yashpal Singh,Delhi Capitals,1,13,20,65.0,0,13.0
Yashpal Singh,Mumbai Indians,1,8,8,100.0,0,8.0
Yashpal Singh,Rajasthan Royals,2,26,37,70.27,0,13.0
Yo Mahesh,Kolkata Knight Riders,1,3,6,50.0,0,3.0
Yo Mahesh,Mumbai Indians,1,3,5,60.0,1,3.0
Yo Mahesh,Punjab Kings,1,6,5,120.0,1,6.0
Yo Mahesh,Rajasthan Royals,2,3,11,27.27,1,3.0
Yogesh Nagar,Chennai Super Kings,2,45,49,91.84,2,45.0
Yogesh Nagar,Deccan Chargers,4,54,35,154.29,2,27.0
Yogesh Nagar,Kochi Tuskers Kerala,2,40,53,75.47,0,20.0
Yogesh Nagar,Kolkata Knight Riders,2,29,19,152.63,0,14.5
Yogesh Nagar,Mumbai Indians,2,0,2,0.0,0,0.0
Yogesh Nagar,Pune Warriors India,1,24,19,126.32,0,24.0
Yogesh Nagar,Punjab Kings,2,21,16,131.25,0,10.5
Yogesh Nagar,Rajasthan Royals,2,36,29,124.14,1,36.0
Yogesh Nagar,Royal Challengers Bangalore,3,36,37,97.3,1,18.0
Yogesh Takawale,Chennai Super Kings,1,19,17,111.76,0,19.0
Yogesh Takawale,Deccan Chargers,1,5,5,100.0,1,5.0
Yogesh Takawale,Delhi Capitals,1,14,20,70.0,0,14.0
Yogesh Takawale,Kolkata Knight Riders,2,85,64,132.81,0,42.5
Yogesh Takawale,Punjab Kings,1,0,7,0.0,0,0.0
Yogesh Takawale,Rajasthan Royals,4,69,64,107.81,1,23.0
Younis Khan,Punjab Kings,1,3,7,42.86,0,3.0
Yusuf Abdulla,Delhi Capitals,1,0,1,0.0,1,0.0
Yusuf Pathan,Chennai Super Kings,19,345,269,128.25,3,21.56
Yusuf Pathan,Deccan Chargers,9,312,172,181.4,2,44.57
Yusuf Pathan,Delhi Capitals,20,438,298,146.98,7,33.69
Yusuf Pathan,Gujarat Lions,3,110,81,135.8,2,110.0
Yusuf Pathan,Kochi Tuskers Kerala,2,25,16,156.25,0,12.5
Yusuf Pathan,Kolkata Knight Riders,10,200,130,153.85,2,25.0
Yusuf Pathan,Mumbai Indians,22,472,329,143.47,7,31.47
Yusuf Pathan,Pune Warriors India,5,130,98,132.65,1,32.5
Yusuf Pathan,Punjab Kings,19,319,236,135.17,5,22.79
Yusuf Pathan,Rajasthan Royals,8,133,108,123.15,3,26.6
Yusuf Pathan,Rising Pune Supergiant,3,77,54,142.59,1,38.5
Yusuf Pathan,Royal Challengers Bangalore,22,357,261,136.78,4,19.83
Yusuf Pathan,Sunrisers Hyderabad,11,286,177,161.58,6,57.2
Yuvraj Singh,Chennai Super Kings,16,341,289,117.99,3,26.23
Yuvraj Singh,Deccan Chargers,8,118,104,113.46,0,14.75
Yuvraj Singh,Delhi Capitals,18,512,364,140.66,6,42.67
Yuvraj Singh,Gujarat Lions,2,13,27,48.15,0,6.5
Yuvraj Singh,Kochi Tuskers Kerala,1,8,12,66.67,0,8.0
Yuvraj Singh,Kolkata Knight Riders,18,386,292,132.19,2,24.12
Yuvraj Singh,Mumbai Indians,19,274,250,109.6,0,14.42
Yuvraj Singh,Punjab Kings,10,257,195,131.79,2,32.12
Yuvraj Singh,Rajasthan Royals,13,384,244,157.38,1,32.0
Yuvraj Singh,Rising Pune Supergiant,2,70,64,109.38,0,35.0
Yuvraj Singh,Royal Challengers Bangalore,14,339,206,164.56,1,26.08
Yuvraj Singh,Sunrisers Hyderabad,5,48,66,72.73,0,9.6
Yuzvendra Chahal,Chennai Super Kings,1,4,12,33.33,0,4.0
Yuzvendra Chahal,Delhi Capitals,2,1,1,100.0,2,1.0
