batsman,Bowling Team,Innings,batsman_runs,valid_ball,Strike Rate,not outs,Average
Scott Styris,Kolkata Knight Riders,3,16,19,84.21,1,8.0
Scott Styris,Punjab Kings,1,1,2,50.0,1,1.0
Scott Styris,Rajasthan Royals,1,13,11,118.18,0,13.0
Scott Styris,Royal Challengers Bangalore,2,16,11,145.45,0,8.0
Sean Abbott,Kolkata Knight Riders,1,1,4,25.0,0,1.0
Sean Abbott,Sunrisers Hyderabad,1,14,9,155.56,0,14.0
Shadab Jakati,Delhi Capitals,2,14,10,140.0,1,14.0
Shadab Jakati,Mumbai Indians,1,6,10,60.0,1,6.0
Shadab Jakati,Royal Challengers Bangalore,2,8,9,88.89,2,8.0
Shahbaz Ahmed,Delhi Capitals,1,1,1,100.0,1,1.0
Shahbaz Nadeem,Chennai Super Kings,3,10,20,50.0,1,5.0
Shahbaz Nadeem,Delhi Capitals,1,2,3,66.67,1,2.0
Shahbaz Nadeem,Kolkata Knight Riders,3,10,18,55.56,2,10.0
Shahbaz Nadeem,Mumbai Indians,3,3,9,33.33,1,1.5
Shahbaz Nadeem,Pune Warriors India,1,6,5,120.0,0,6.0
Shahbaz Nadeem,Punjab Kings,2,3,8,37.5,1,3.0
Shahbaz Nadeem,Rajasthan Royals,1,1,4,25.0,0,1.0
Shahbaz Nadeem,Royal Challengers Bangalore,3,4,15,26.67,0,1.33
Shahbaz Nadeem,Sunrisers Hyderabad,2,0,4,0.0,0,0.0
Shahid Afridi,Chennai Super Kings,2,21,8,262.5,1,21.0
Shahid Afridi,Delhi Capitals,2,35,21,166.67,0,17.5
Shahid Afridi,Mumbai Indians,1,0,1,0.0,0,0.0
Shahid Afridi,Punjab Kings,1,13,7,185.71,0,13.0
Shahid Afridi,Rajasthan Royals,2,11,7,157.14,0,5.5
Shahid Afridi,Royal Challengers Bangalore,1,1,2,50.0,0,1.0
Shakib Al Hasan,Chennai Super Kings,7,124,78,158.97,3,31.0
Shakib Al Hasan,Delhi Capitals,2,31,25,124.0,1,31.0
Shakib Al Hasan,Gujarat Lions,3,70,58,120.69,2,70.0
Shakib Al Hasan,Kochi Tuskers Kerala,1,2,5,40.0,0,2.0
Shakib Al Hasan,Kolkata Knight Riders,3,65,52,125.0,0,21.67
Shakib Al Hasan,Mumbai Indians,9,93,74,125.68,1,11.62
Shakib Al Hasan,Pune Warriors India,1,42,30,140.0,0,42.0
Shakib Al Hasan,Punjab Kings,6,97,85,114.12,1,19.4
Shakib Al Hasan,Rajasthan Royals,6,94,68,138.24,2,23.5
Shakib Al Hasan,Rising Pune Supergiant,1,3,9,33.33,0,3.0
Shakib Al Hasan,Royal Challengers Bangalore,5,117,86,136.05,1,29.25
Shakib Al Hasan,Sunrisers Hyderabad,2,8,15,53.33,0,4.0
Shalabh Srivastava,Mumbai Indians,2,4,3,133.33,2,4.0
Shalabh Srivastava,Pune Warriors India,1,1,1,100.0,1,1.0
Shalabh Srivastava,Rajasthan Royals,1,0,1,0.0,0,0.0
Shane Bond,Chennai Super Kings,1,1,2,50.0,0,1.0
Shane Harwood,Chennai Super Kings,1,6,6,100.0,1,6.0
Shane Harwood,Deccan Chargers,1,3,7,42.86,1,3.0
Shane Warne,Chennai Super Kings,4,33,31,106.45,2,16.5
Shane Warne,Deccan Chargers,4,44,30,146.67,1,14.67
Shane Warne,Delhi Capitals,6,31,32,96.88,0,5.17
Shane Warne,Kochi Tuskers Kerala,1,2,9,22.22,0,2.0
Shane Warne,Kolkata Knight Riders,6,34,51,66.67,3,11.33
Shane Warne,Mumbai Indians,2,8,8,100.0,1,8.0
Shane Warne,Punjab Kings,2,39,36,108.33,2,39.0
