batsman,batsman_runs,Innings,balls_faced,total_fours,total_sixes,Total Boundaries,High_score,strike_rate,Centuries,Half_Centuries,not outs,Average
Kagiso Rabada,125,13,128,9,4,13,44,97.66,0,0,4,13.89
Biplab Samantray,125,8,113,13,2,15,55,110.62,0,1,3,25.0
Manpreet Juneja,125,7,128,11,1,12,49,97.66,0,0,0,17.86
Brett Lee,124,19,96,8,8,16,25,129.17,0,0,9,12.4
Andrew McDonald,123,9,100,9,4,13,33,123.0,0,0,4,24.6
Umesh Yadav,122,34,128,11,4,15,24,95.31,0,0,20,8.71
Mohit Sharma,122,25,117,8,4,12,21,104.27,0,0,11,8.71
Niraj Patel,121,6,119,14,1,15,57,101.68,0,1,2,30.25
Daniel Vettori,121,16,112,11,2,13,29,108.04,0,0,8,15.12
Aiden Blizzard,120,7,90,21,2,23,51,133.33,0,1,0,17.14
Misbah-ul-Haq,117,8,81,10,6,16,47,144.44,0,0,1,16.71
Ryan Harris,117,21,111,6,3,9,17,105.41,0,0,9,9.75
Zaheer Khan,117,27,140,11,2,13,23,83.57,0,0,13,8.36
Kevon Cooper,116,12,67,9,8,17,32,173.13,0,0,3,12.89
Tim Southee,115,13,89,8,4,12,36,129.21,0,0,5,14.38
D'Arcy Short,115,7,99,11,5,16,44,116.16,0,0,0,16.43
Murali Kartik,113,14,107,7,1,8,21,105.61,0,0,7,16.14
Abdul Samad,111,7,65,8,6,14,33,170.77,0,0,2,22.2
Daniel Harris,111,4,101,11,5,16,47,109.9,0,0,0,27.75
Jacob Oram,106,11,107,6,5,11,41,99.07,0,0,3,13.25
Tom Curran,106,8,90,8,3,11,54,117.78,0,1,4,26.5
Luke Wright,106,5,59,16,3,19,44,179.66,0,0,0,21.2
Dhawal Kulkarni,104,20,108,7,2,9,28,96.3,0,0,11,11.56
Jason Holder,104,9,84,9,5,14,26,123.81,0,0,2,14.86
Rob Quiney,103,7,102,12,3,15,51,100.98,0,1,0,14.71
Manpreet Gony,99,15,70,6,8,14,42,141.43,0,0,6,11.0
Siddharth Chitnis,99,8,88,10,2,12,38,112.5,0,0,1,14.14
Callum Ferguson,98,8,117,9,0,9,23,83.76,0,0,2,16.33
Michael Clarke,98,6,94,12,0,12,41,104.26,0,0,0,16.33
Mitchell Starc,96,11,98,10,0,10,29,97.96,0,0,4,13.71
Pinal Shah,92,9,90,9,2,11,29,102.22,0,0,1,11.5
Davy Jacobs,92,7,98,10,4,14,32,93.88,0,0,0,13.14
Sachin Rana,91,8,79,9,1,10,19,115.19,0,0,4,22.75
Ricky Ponting,91,9,128,5,2,7,28,71.09,0,0,0,10.11
Andrew Tye,91,13,75,6,5,11,25,121.33,0,0,4,10.11
Akshdeep Nath,90,10,98,7,2,9,24,91.84,0,0,0,9.0
Iqbal Abdulla,88,13,82,9,1,10,33,107.32,0,0,11,44.0
Lasith Malinga,88,20,99,6,5,11,17,88.89,0,0,6,6.29
Anustup Majumdar,87,4,76,7,2,9,31,114.47,0,0,0,21.75
Mahipal Lomror,87,6,78,5,3,8,47,111.54,0,0,1,17.4
Ankit Sharma,87,10,67,7,4,11,30,129.85,0,0,3,12.43
Mitchell McClenaghan,85,20,69,5,7,12,20,123.19,0,0,8,7.08
Richard Levi,83,6,73,10,4,14,50,113.7,0,1,0,13.83
Chaminda Vaas,81,11,72,2,3,5,20,112.5,0,0,3,10.12
Lee Carseldine,81,5,66,11,0,11,39,122.73,0,0,1,20.25
Shahid Afridi,81,9,46,7,6,13,33,176.09,0,0,1,10.12
Dimitri Mascarenhas,79,11,78,5,1,6,27,101.28,0,0,2,8.78
Deepak Chahar,78,10,56,2,6,8,39,139.29,0,0,3,11.14
Josh Philippe,78,5,77,9,1,10,33,101.3,0,0,1,19.5
Nathan Coulter-Nile,77,13,65,7,4,11,24,118.46,0,0,4,8.56
Rinku Singh,77,8,76,6,2,8,30,101.32,0,0,1,11.0
Balachandra Akhil,76,11,55,5,5,10,27,138.18,0,0,5,12.67
Ishank Jaggi,76,7,97,6,0,6,28,78.35,0,0,2,15.2
Travis Birt,75,5,57,9,2,11,27,131.58,0,0,0,15.0
Ramnaresh Sarwan,73,4,75,6,1,7,31,97.33,0,0,0,18.25
Michael Klinger,73,4,75,9,0,9,29,97.33,0,0,0,18.25
