id,inning,batting_team,batsman,batsman_runs,valid_ball,strike_rate,bowler,dismissal_kind,fielder,info,season,is_four,is_six,bowling_team
548316,1,Chennai Super Kings,Ravichandran Ashwin,8,5,160.0,Morne Morkel,run out,"V Sehwag,NV Ojha","run out V Sehwag,NV Ojha",2012,1,0,Delhi Capitals
548316,1,Chennai Super Kings,Albie Morkel,2,3,66.7,,,,not out,2012,0,0,Delhi Capitals
548316,1,Chennai Super Kings,Shadab Jakati,1,2,50.0,,,,not out,2012,0,0,Delhi Capitals
548316,2,Delhi Capitals,Kevin Pietersen,43,26,165.4,,,,not out,2012,3,2,Chennai Super Kings
548316,2,Delhi Capitals,Virender Sehwag,33,21,157.1,Ravichandran Ashwin,caught,Murali Vijay,c Murali Vijay b Ravichandran Ashwin,2012,4,1,Chennai Super Kings
548316,2,Delhi Capitals,Mahela Jayawardene,20,21,95.2,,,,not out,2012,1,0,Chennai Super Kings
548316,2,Delhi Capitals,Naman Ojha,14,12,116.7,Ravichandran Ashwin,run out,"F du Plessis,R Ashwin","run out F du Plessis,R Ashwin",2012,3,0,Chennai Super Kings
548317,1,Mumbai Indians,Kieron Pollard,64,33,193.9,Ankeet Chavan,caught,Ajinkya Rahane,c Ajinkya Rahane b Ankeet Chavan,2012,6,4,Rajasthan Royals
548317,1,Mumbai Indians,Ambati Rayudu,47,32,146.9,,,,not out,2012,1,3,Rajasthan Royals
548317,1,Mumbai Indians,Richard Levi,29,22,131.8,Brad Hogg,bowled,,b Brad Hogg,2012,4,1,Rajasthan Royals
548317,1,Mumbai Indians,Rohit Sharma,21,13,161.5,Brad Hogg,bowled,,b Brad Hogg,2012,2,1,Rajasthan Royals
548317,1,Mumbai Indians,Harbhajan Singh,18,6,300.0,,,,not out,2012,1,2,Rajasthan Royals
548317,1,Mumbai Indians,Tirumalasetti Suman,10,10,100.0,Anureet Singh,caught,Siddharth Trivedi,c Siddharth Trivedi b Anureet Singh,2012,0,1,Rajasthan Royals
548317,1,Mumbai Indians,James Franklin,2,3,66.7,Anureet Singh,caught,Ajinkya Rahane,c Ajinkya Rahane b Anureet Singh,2012,0,0,Rajasthan Royals
548317,1,Mumbai Indians,Dinesh Karthik,0,1,0.0,Kevon Cooper,caught,Siddharth Trivedi,c Siddharth Trivedi b Kevon Cooper,2012,0,0,Rajasthan Royals
548317,2,Rajasthan Royals,Owais Shah,76,42,181.0,Lasith Malinga,bowled,,b Lasith Malinga,2012,5,5,Mumbai Indians
548317,2,Rajasthan Royals,Ajinkya Rahane,40,31,129.0,Kieron Pollard,caught,Richard Levi,c Richard Levi b Kieron Pollard,2012,4,2,Mumbai Indians
